year,papers,median_tflops,q25_tflops,q75_tflops,p90_tflops,p95_tflops,max_tflops,mean_tflops
2020,330,90.72,12.15,448.0,1792.0,4992.0,56000.0,861.9904636363636
2021,504,112.0,32.62,448.0,1792.0,4992.0,638976.0,2152.7897023809523
2022,654,284.0,112.0,896.0,4992.0,4992.0,638976.0,2476.5590795107037
2023,859,448.0,112.0,1233.6,4992.0,4992.0,319488.0,2675.7057415599534
2024,1156,896.0,309.6,4992.0,4992.0,9984.0,8626176.0,11101.352839100346
2025,2002,1321.2,624.0,4992.0,6048.0,9984.0,774144.0,5062.538666333666
