venue,papers,median_tflops,q25_tflops,q75_tflops,p90_tflops,p95_tflops,max_tflops,mean_tflops
ACL,2644,312.0,113.8,1248.0,2496.0,3934.279999999987,19968.0,1153.9592102874433
EMNLP,3561,312.0,113.8,1197.6,2496.0,2640.0,19968.0,975.9213396517831
NAACL,633,312.0,119.1,896.0,2496.0,2496.0,19968.0,982.8889218009479
