year,venue,gpu_papers,papers_with_reported_peak_tflops,coverage_pct
2020,ACL,97,97,100.0
2020,EMNLP,364,364,100.0
2021,ACL,244,244,100.0
2021,EMNLP,402,402,100.0
2021,NAACL,95,95,100.0
2022,ACL,264,264,100.0
2022,EMNLP,502,502,100.0
2022,NAACL,110,110,100.0
2023,ACL,585,585,100.0
2023,EMNLP,493,493,100.0
2024,ACL,500,500,100.0
2024,EMNLP,768,768,100.0
2024,NAACL,172,172,100.0
2025,ACL,986,986,100.0
2025,EMNLP,1059,1059,100.0
2025,NAACL,259,259,100.0
