year,papers,median_tflops,q25_tflops,q75_tflops,p90_tflops,p95_tflops,max_tflops,mean_tflops
2020,460,112.0,11.76,227.6,896.0,1792.0,17920.0,448.9414260869565
2021,737,112.0,89.2,312.0,896.0,1792.0,7168.0,395.506263229308
2022,873,130.5,112.0,568.0,1792.0,2496.0,19968.0,660.0499163802979
2023,1070,312.0,112.0,624.0,2496.0,2496.0,19968.0,766.281193457944
2024,1427,330.0,299.4,1320.0,2496.0,3444.800000000021,19968.0,1271.2162971268394
2025,2271,624.0,312.0,2496.0,2496.0,6048.0,19968.0,1514.892755614267
