venue,papers,median_tflops,q25_tflops,q75_tflops,p90_tflops,p95_tflops,max_tflops,mean_tflops
ACL,2153,624.0,154.8,2642.4,4992.0,6684.0,39936.0,2369.815980027868
EMNLP,2788,624.0,112.0,2496.0,4992.0,5532.000000000022,39936.0,2057.9540021520806
NAACL,513,624.0,112.0,2496.0,4992.0,5644.799999999985,39936.0,1957.2858908382063
