venue,papers,median_tflops,q25_tflops,q75_tflops,p90_tflops,p95_tflops,max_tflops,mean_tflops
ACL,2676,312.0,113.8,1248.0,2496.0,6048.0,4313088.0,4099.050281016443
EMNLP,3588,312.0,113.8,1248.0,2496.0,3024.0,319488.0,1369.9444510869566
NAACL,636,312.0,119.1,896.0,2496.0,2736.0,319488.0,1593.145735062893
