paper_id,year,venue,model_reported,strict_reported
2020.acl-main.235,2020,ACL,1,1
2020.acl-main.236,2020,ACL,0,0
2020.acl-main.237,2020,ACL,0,0
2020.acl-main.238,2020,ACL,1,1
2020.acl-main.239,2020,ACL,0,0
2020.acl-main.24,2020,ACL,1,1
2020.acl-main.240,2020,ACL,0,0
2020.acl-main.241,2020,ACL,1,0
2020.acl-main.242,2020,ACL,0,0
2020.acl-main.243,2020,ACL,0,0
2020.acl-main.244,2020,ACL,0,0
2020.acl-main.245,2020,ACL,0,0
2020.acl-main.246,2020,ACL,1,0
2020.acl-main.247,2020,ACL,1,0
2020.acl-main.248,2020,ACL,0,0
2020.acl-main.249,2020,ACL,0,0
2020.acl-main.25,2020,ACL,0,0
2020.acl-main.250,2020,ACL,0,0
2020.acl-main.251,2020,ACL,0,0
2020.acl-main.252,2020,ACL,0,0
2020.acl-main.253,2020,ACL,1,1
2020.acl-main.254,2020,ACL,1,0
2020.acl-main.255,2020,ACL,0,0
2020.acl-main.256,2020,ACL,0,0
2020.acl-main.257,2020,ACL,0,0
2020.acl-main.258,2020,ACL,0,0
2020.acl-main.259,2020,ACL,0,0
2020.acl-main.26,2020,ACL,0,0
2020.acl-main.260,2020,ACL,0,0
2020.acl-main.261,2020,ACL,0,0
2020.acl-main.262,2020,ACL,0,0
2020.acl-main.263,2020,ACL,0,0
2020.acl-main.264,2020,ACL,0,0
2020.acl-main.265,2020,ACL,0,0
2020.acl-main.266,2020,ACL,0,0
2020.acl-main.267,2020,ACL,0,0
2020.acl-main.268,2020,ACL,0,0
2020.acl-main.269,2020,ACL,0,0
2020.acl-main.27,2020,ACL,0,0
2020.acl-main.270,2020,ACL,0,0
2020.acl-main.271,2020,ACL,0,0
2020.acl-main.272,2020,ACL,0,0
2020.acl-main.273,2020,ACL,0,0
2020.acl-main.274,2020,ACL,0,0
2020.acl-main.275,2020,ACL,0,0
2020.acl-main.276,2020,ACL,0,0
2020.acl-main.277,2020,ACL,1,0
2020.acl-main.278,2020,ACL,0,0
2020.acl-main.279,2020,ACL,0,0
2020.acl-main.28,2020,ACL,0,0
2020.acl-main.280,2020,ACL,0,0
2020.acl-main.281,2020,ACL,0,0
2020.acl-main.282,2020,ACL,0,0
2020.acl-main.283,2020,ACL,0,0
2020.acl-main.284,2020,ACL,0,0
2020.acl-main.285,2020,ACL,0,0
2020.acl-main.286,2020,ACL,0,0
2020.acl-main.287,2020,ACL,0,0
2020.acl-main.288,2020,ACL,0,0
2020.acl-main.289,2020,ACL,0,0
2020.acl-main.29,2020,ACL,0,0
2020.acl-main.290,2020,ACL,0,0
2020.acl-main.291,2020,ACL,0,0
2020.acl-main.292,2020,ACL,0,0
2020.acl-main.293,2020,ACL,0,0
2020.acl-main.294,2020,ACL,0,0
2020.acl-main.295,2020,ACL,0,0
2020.acl-main.296,2020,ACL,0,0
2020.acl-main.297,2020,ACL,0,0
2020.acl-main.298,2020,ACL,0,0
2020.acl-main.299,2020,ACL,1,0
2020.acl-main.3,2020,ACL,0,0
2020.acl-main.30,2020,ACL,0,0
2020.acl-main.300,2020,ACL,0,0
2020.acl-main.301,2020,ACL,1,0
2020.acl-main.302,2020,ACL,1,0
2020.acl-main.303,2020,ACL,0,0
2020.acl-main.304,2020,ACL,0,0
2020.acl-main.305,2020,ACL,0,0
2020.acl-main.306,2020,ACL,1,0
2020.acl-main.307,2020,ACL,0,0
2020.acl-main.308,2020,ACL,0,0
2020.acl-main.309,2020,ACL,0,0
2020.acl-main.31,2020,ACL,0,0
2020.acl-main.310,2020,ACL,0,0
2020.acl-main.311,2020,ACL,0,0
2020.acl-main.312,2020,ACL,0,0
2020.acl-main.313,2020,ACL,0,0
2020.acl-main.314,2020,ACL,0,0
2020.acl-main.315,2020,ACL,0,0
2020.acl-main.316,2020,ACL,0,0
2020.acl-main.317,2020,ACL,0,0
2020.acl-main.318,2020,ACL,0,0
2020.acl-main.319,2020,ACL,1,0
2020.acl-main.32,2020,ACL,0,0
