paper_id,year,openalex_work_id,first_author_openalex_id,last_author_openalex_id,author_count_openalex,institution_count_openalex,author_id_coverage,institution_id_coverage,author_history_coverage,institution_history_coverage,author_prior_citations_3y_max_log1p,author_prior_works_3y_mean_log1p,institution_prior_citations_3y_max_log1p,has_code_url,has_model_url,has_data_url,has_public_artifact,history_window_years
2020.acl-main.302,2020,W3035058125,A5100433630,A5100402911,3,1,1,1,1,1,7.0707241072602764,3.2834143460057721,13.482287038542117,1,0,0,1,3
2020.acl-main.306,2020,W3035448883,A5084990301,A5035534911,4,2,1,1,1,1,7.9113240189633531,2.9831534913471307,12.914349788766916,0,0,0,0,3
2020.acl-main.319,2020,W3034397670,A5108286207,A5100427076,5,2,1,1,1,1,7.9233482119301542,3.8286413964890951,13.818099204525764,0,0,0,0,3
2020.acl-main.322,2020,W3035629723,A5107028150,A5101857422,8,3,1,1,1,1,8.4233219758061662,3.0019628233046269,12.819841064622178,0,0,0,0,3
2020.acl-main.323,2020,W3034687015,A5049783368,A5056590711,4,4,1,1,1,1,7.3297496890415124,3.4657359027997265,13.70379209555227,0,0,0,0,3
2020.acl-main.324,2020,W3034906024,A5023868584,A5101661008,6,0,1,0,1,0,7.2786289423206822,3.9153507955208209,,0,0,0,0,3
2020.acl-main.340,2020,W3034990686,A5101447904,A5040759280,2,1,1,1,1,1,6.7464121285733754,3.044522437723423,13.817679204749046,0,0,0,0,3
2020.acl-main.344,2020,W3034571331,A5101863385,A5013188461,5,2,1,1,1,1,9.1102990177959562,3.9160150266976834,13.296815719652889,0,0,0,0,3
2020.acl-main.350,2020,W3034586846,A5088179161,A5101884287,7,2,1,1,1,1,9.5127386282636444,4.1061790198691037,14.304538325287568,0,1,0,1,3
2020.acl-main.36,2020,W3035289598,A5055122985,A5048237545,3,0,1,0,1,0,8.7412962822251465,4.2046926193909657,,0,1,0,1,3
2020.acl-main.368,2020,W2980697054,A5076269589,A5071144367,2,3,1,1,1,1,7.6275443904885032,4.1820501426412067,13.893857675090135,0,1,0,1,3
2020.acl-main.37,2020,W3035548285,A5049783368,A5100458628,5,4,1,1,1,1,7.3297496890415124,3.4210000089583352,13.70379209555227,0,0,0,0,3
2020.acl-main.370,2020,W3035431747,A5042960981,A5055685073,5,1,1,1,1,1,7.4330753488985799,3.9160150266976834,12.459966521950244,0,1,0,1,3
2020.acl-main.38,2020,W3035747971,A5049783368,A5100458628,5,4,1,1,1,1,7.3297496890415124,3.4210000089583352,13.70379209555227,0,0,0,0,3
2020.acl-main.388,2020,W3035596036,A5061989255,A5060042752,4,2,1,1,1,1,8.9591830742067735,3.7898553714539385,14.217284863432017,0,0,0,0,3
2020.acl-main.397,2020,W3035169973,A5071444362,A5100703185,4,3,1,1,1,1,7.9515593311552522,3.2484346271097451,13.817679204749046,0,0,0,0,3
2020.acl-main.40,2020,W3034742481,A5101086828,A5085736941,6,5,1,1,1,1,7.9515593311552522,3.1849742731925192,15.630503527014731,0,0,0,0,3
2020.acl-main.410,2020,W3035129496,A5086600391,A5101488340,3,1,1,1,1,1,7.1846291527173145,2.5649493574615367,14.02867649805321,0,0,0,0,3
2020.acl-main.43,2020,W3017116062,A5109946254,A5061044883,6,4,1,1,1,1,9.326967183907902,4.0915629192602241,14.713774987941722,0,0,0,0,3
2020.acl-main.443,2020,W3022192152,A5049579964,A5039096905,4,1,1,1,1,1,7.503840746698951,2.8478121434773689,14.02867649805321,1,0,0,1,3
2020.acl-main.451,2020,W3034961030,A5100622261,A5100627504,4,2,1,1,1,1,8.8237951487205297,3.6888794541139358,13.88800329776085,0,0,0,0,3
2020.acl-main.460,2020,W3034991617,,,1,2,0.25,1,0,1,,,14.52280864055286,0,0,0,0,3
2020.acl-main.467,2020,W3034255912,A5017627015,A5112713734,9,3,1,1,1,1,8.8041750187536252,3.0122615755052013,13.95116581858359,0,0,0,0,3
2020.acl-main.469,2020,W3034837210,A5004824034,A5087096372,5,3,1,1,1,1,9.313348122050412,3.8877303128591016,14.460542546509824,0,1,0,1,3
2020.acl-main.471,2020,W3021922361,A5063343642,A5021057186,3,2,1,1,1,1,7.2189097076190603,3.3557350075853982,13.88800329776085,0,0,0,0,3
2020.acl-main.496,2020,W3030885703,A5005590626,A5030752617,3,1,1,1,1,1,7.7371800778346298,3.0285220963769821,14.512335467381185,0,0,0,0,3
2020.acl-main.504,2020,W3022719076,A5060844217,A5056376686,2,2,1,1,1,1,6.6808546787902152,3.6243409329763652,10.436642021785184,0,1,0,1,3
2020.acl-main.510,2020,W3034978379,A5068755696,A5100435461,2,0,1,0,1,0,6.5352412710136587,2.0794415416798362,,0,1,0,1,3
2020.acl-main.522,2020,W3035000929,A5055939662,A5037685378,7,0,1,0,1,0,7.774015077250727,3.044522437723423,,1,0,0,1,3
2020.acl-main.523,2020,W3034843119,A5022583259,A5086674741,4,1,1,1,1,1,8.3820605174247405,2.8763855159214247,8.7942186836794889,0,0,0,0,3
2020.acl-main.528,2020,W3035642486,A5088256860,A5088834359,5,1,1,1,1,1,8.7436911105430202,3.5145260669691587,13.914782878113618,0,0,0,0,3
2020.acl-main.536,2020,W3035547806,A5068394403,A5091317839,5,2,1,1,1,1,10.144510313937577,3.2809112157876537,14.749790509197988,0,1,0,1,3
2020.acl-main.539,2020,W3035620114,A5019101763,A5017205177,10,3,1,1,1,1,9.1102990177959562,3.475067230228611,14.214771795132586,0,0,0,0,3
2020.acl-main.552,2020,W3035050380,A5088945316,A5088834359,6,1,1,1,1,1,9.0536865619308085,4.2579739860039032,13.914782878113618,1,0,0,1,3
2020.acl-main.553,2020,W3034353423,A5101408453,A5088834359,5,1,1,1,1,1,8.7436911105430202,3.784189633918261,13.914782878113618,0,0,0,0,3
2020.acl-main.555,2020,W3035620455,A5100318438,A5100663187,6,2,1,1,1,1,8.1783581656058359,3.6971782569286313,12.459966521950244,0,0,0,0,3
