anthology_id,venue_dir,venue,year,award,title,source_url,pdf_url
2024.emnlp-main.649,2024.emnlp-main,EMNLP,2024,Outstanding Paper Award,Fishing for Magikarp: Automatically Detecting Under-trained Tokens in Large Language Models,https://aclanthology.org/2024.emnlp-main.649/,https://aclanthology.org/2024.emnlp-main.649.pdf
2024.emnlp-main.702,2024.emnlp-main,EMNLP,2024,Outstanding Paper Award,SUPER: Evaluating Agents on Setting Up and Executing Tasks from Research Repositories,https://aclanthology.org/2024.emnlp-main.702/,https://aclanthology.org/2024.emnlp-main.702.pdf
2024.emnlp-main.721,2024.emnlp-main,EMNLP,2024,Best Paper Award,CoGen: Learning from Feedback with Coupled Comprehension and Generation,https://aclanthology.org/2024.emnlp-main.721/,https://aclanthology.org/2024.emnlp-main.721.pdf
2024.emnlp-main.724,2024.emnlp-main,EMNLP,2024,Outstanding Paper Award,OATH-Frames: Characterizing Online Attitudes Towards Homelessness with LLM Assistants,https://aclanthology.org/2024.emnlp-main.724/,https://aclanthology.org/2024.emnlp-main.724.pdf
2024.emnlp-main.914,2024.emnlp-main,EMNLP,2024,Outstanding Paper Award,Towards Cross-Cultural Machine Translation with Retrieval-Augmented Generation from Multilingual Knowledge Graphs,https://aclanthology.org/2024.emnlp-main.914/,https://aclanthology.org/2024.emnlp-main.914.pdf
2025.acl-long.1059,2025.acl-long,ACL,2025,Outstanding Paper,Typology-Guided Adaptation in Multilingual Models,https://aclanthology.org/2025.acl-long.1059/,https://aclanthology.org/2025.acl-long.1059.pdf
2025.acl-long.1070,2025.acl-long,ACL,2025,Outstanding Paper,IndicSynth: A Large-Scale Multilingual Synthetic Speech Dataset for Low-Resource Indian Languages,https://aclanthology.org/2025.acl-long.1070/,https://aclanthology.org/2025.acl-long.1070.pdf
2025.acl-long.1097,2025.acl-long,ACL,2025,Outstanding Paper,Towards the Law of Capacity Gap in Distilling Language Models,https://aclanthology.org/2025.acl-long.1097/,https://aclanthology.org/2025.acl-long.1097.pdf
2025.acl-long.1126,2025.acl-long,ACL,2025,Best Paper,Native Sparse Attention: Hardware-Aligned and Natively Trainable Sparse Attention,https://aclanthology.org/2025.acl-long.1126/,https://aclanthology.org/2025.acl-long.1126.pdf
2025.acl-long.115,2025.acl-long,ACL,2025,Outstanding Paper,HateDay: Insights from a Global Hate Speech Dataset Representative of a Day on Twitter,https://aclanthology.org/2025.acl-long.115/,https://aclanthology.org/2025.acl-long.115.pdf
2025.acl-long.1157,2025.acl-long,ACL,2025,Outstanding Paper,Capability Salience Vector: Fine-grained Alignment of Loss and Capabilities for Downstream Task Scaling Law,https://aclanthology.org/2025.acl-long.1157/,https://aclanthology.org/2025.acl-long.1157.pdf
2025.acl-long.1194,2025.acl-long,ACL,2025,Outstanding Paper,LaTIM: Measuring Latent Token-to-Token Interactions in Mamba Models,https://aclanthology.org/2025.acl-long.1194/,https://aclanthology.org/2025.acl-long.1194.pdf
2025.acl-long.1319,2025.acl-long,ACL,2025,Outstanding Paper,I0T: Embedding Standardization Method Towards Zero Modality Gap,https://aclanthology.org/2025.acl-long.1319/,https://aclanthology.org/2025.acl-long.1319.pdf
2025.acl-long.1451,2025.acl-long,ACL,2025,Outstanding Paper,PARME: Parallel Corpora for Low-Resourced Middle Eastern Languages,https://aclanthology.org/2025.acl-long.1451/,https://aclanthology.org/2025.acl-long.1451.pdf
2025.acl-long.1508,2025.acl-long,ACL,2025,Outstanding Paper,Revisiting Compositional Generalization Capability of Large Language Models Considering Instruction Following Ability,https://aclanthology.org/2025.acl-long.1508/,https://aclanthology.org/2025.acl-long.1508.pdf
2025.acl-long.1584,2025.acl-long,ACL,2025,Outstanding Paper,"Mapping 1,000+ Language Models via the Log-Likelihood Vector",https://aclanthology.org/2025.acl-long.1584/,https://aclanthology.org/2025.acl-long.1584.pdf
2025.acl-long.200,2025.acl-long,ACL,2025,Outstanding Paper,Past Meets Present: Creating Historical Analogy with Large Language Models,https://aclanthology.org/2025.acl-long.200/,https://aclanthology.org/2025.acl-long.200.pdf
