model,model_family,term,term_label,outcome,sample,nobs,r_squared,adj_r_squared,coef,std_err,p_value,ci_low,ci_high,percent_change,percent_change_ci_low,percent_change_ci_high,formula,cov_type
A1,appendix_full_model,Company_i,Company,log10_max_tflops_lb1,lb1_gfimp_max_row,6895,0.2762257003461116,0.2720017476197977,0.4799973648241128,0.04092232369747667,9.001544946150055e-32,0.39979108421336856,0.5602036454348571,201.9933396246076,151.06783882305237,263.24834596556803,log10_max_tflops_lb1 ~ Company_i + IndustryAcademia_i + CrossSector_i + International_i + log1p_nOrganizations_i + C(year_fe) + C(topic_fe) + C(venue_fe),HC3
A1,appendix_full_model,IndustryAcademia_i,Industry-academia,log10_max_tflops_lb1,lb1_gfimp_max_row,6895,0.2762257003461116,0.2720017476197977,-0.31219770831423244,0.04531900179773985,5.6228610741423554e-12,-0.4010213196531085,-0.22337409697535637,-51.269340196136895,-60.28279483104314,-40.210364882977764,log10_max_tflops_lb1 ~ Company_i + IndustryAcademia_i + CrossSector_i + International_i + log1p_nOrganizations_i + C(year_fe) + C(topic_fe) + C(venue_fe),HC3
A1,appendix_full_model,CrossSector_i,Cross-sector,log10_max_tflops_lb1,lb1_gfimp_max_row,6895,0.2762257003461116,0.2720017476197977,0.07624742612862734,0.022583717728134466,0.0007349118099308134,0.031984152744465054,0.12051069951278962,19.192087544886903,7.642593450290458,31.980782680312213,log10_max_tflops_lb1 ~ Company_i + IndustryAcademia_i + CrossSector_i + International_i + log1p_nOrganizations_i + C(year_fe) + C(topic_fe) + C(venue_fe),HC3
A1,appendix_full_model,International_i,International,log10_max_tflops_lb1,lb1_gfimp_max_row,6895,0.2762257003461116,0.2720017476197977,-0.020776270959440166,0.01833944567752822,0.2572674040563836,-0.05672092398382425,0.01516838206494392,-4.671287167152293,-12.243544028707243,3.5543583635636145,log10_max_tflops_lb1 ~ Company_i + IndustryAcademia_i + CrossSector_i + International_i + log1p_nOrganizations_i + C(year_fe) + C(topic_fe) + C(venue_fe),HC3
A1,appendix_full_model,log1p_nOrganizations_i,log(1+n organizations),log10_max_tflops_lb1,lb1_gfimp_max_row,6895,0.2762257003461116,0.2720017476197977,0.05808178885547194,0.029664758010232457,0.05023716211673918,-6.006845467975558e-05,0.11622364616562364,14.309358853404873,-0.013830316354035421,30.68436927646112,log10_max_tflops_lb1 ~ Company_i + IndustryAcademia_i + CrossSector_i + International_i + log1p_nOrganizations_i + C(year_fe) + C(topic_fe) + C(venue_fe),HC3
