year,papers,year_p90_cutoff_tflops,top10_papers,top10_share_pct
2020,460,896.0,65,14.130434782608695
2021,737,896.0,104,14.111261872455902
2022,873,1792.0,95,10.882016036655212
2023,1070,2496.0,134,12.52336448598131
2024,1427,2496.0,312,21.86405045550105
2025,2271,2496.0,623,27.432848965213562
