paper_id,country_code,year,paper_venue,compute_tflops,log10_compute_tflops,year_p80_cutoff_tflops,is_year_top20_compute,country_count_per_paper
2020.acl-main.370,CN,2020,ACL,9.526,0.9789105771755716,448.0,0,1
2020.acl-main.38,CN,2020,ACL,22.68,1.355643050220869,448.0,0,2
2020.acl-main.388,CN,2020,ACL,113.8,2.056142262059052,448.0,0,2
2020.acl-main.397,CN,2020,ACL,227.6,2.3571722577230334,448.0,0,1
2020.acl-main.40,CN,2020,ACL,76.208,1.8820005641675153,448.0,0,1
2020.acl-main.469,CN,2020,ACL,448.0,2.651278013998144,448.0,1,2
2020.acl-main.510,CN,2020,ACL,6.832,0.8345478576809486,448.0,0,1
2020.acl-main.522,CN,2020,ACL,112.0,2.0492180226701815,448.0,0,2
2020.acl-main.523,CN,2020,ACL,9.526,0.9789105771755716,448.0,0,1
2020.acl-main.528,CN,2020,ACL,6.691,0.8254910298794309,448.0,0,1
2020.acl-main.539,CN,2020,ACL,47.04,1.672467313068082,448.0,0,2
2020.acl-main.552,CN,2020,ACL,896.0,2.9523080096621253,448.0,1,1
2020.acl-main.553,CN,2020,ACL,113.8,2.056142262059052,448.0,0,1
2020.acl-main.555,CN,2020,ACL,448.0,2.651278013998144,448.0,1,1
2020.acl-main.595,CN,2020,ACL,112.0,2.0492180226701815,448.0,0,1
2020.acl-main.599,CN,2020,ACL,47.04,1.672467313068082,448.0,0,2
2020.acl-main.604,CN,2020,ACL,47.04,1.672467313068082,448.0,0,2
2020.acl-main.616,CN,2020,ACL,455.2,2.6582022533870147,448.0,1,2
2020.acl-main.638,CN,2020,ACL,9.526,0.9789105771755716,448.0,0,1
2020.acl-main.640,CN,2020,ACL,11.34,1.0546130545568877,448.0,0,1
2020.acl-main.670,CN,2020,ACL,110.0,2.041392685158225,448.0,0,2
2020.acl-main.78,CN,2020,ACL,11.34,1.0546130545568877,448.0,0,1
2020.acl-main.9,CN,2020,ACL,896.0,2.9523080096621253,448.0,1,1
2020.emnlp-main.108,CN,2020,EMNLP,130.5,2.1156105116742996,448.0,0,2
2020.emnlp-main.111,CN,2020,EMNLP,448.0,2.651278013998144,448.0,1,1
2020.emnlp-main.114,CN,2020,EMNLP,19.052,1.2799405728395528,448.0,0,2
2020.emnlp-main.124,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,2
2020.emnlp-main.129,CN,2020,EMNLP,910.4,2.959232249050996,448.0,1,1
2020.emnlp-main.130,CN,2020,EMNLP,9.526,0.9789105771755716,448.0,0,2
2020.emnlp-main.132,CN,2020,EMNLP,130.5,2.1156105116742996,448.0,0,1
2020.emnlp-main.144,CN,2020,EMNLP,113.8,2.056142262059052,448.0,0,1
2020.emnlp-main.150,CN,2020,EMNLP,448.0,2.651278013998144,448.0,1,1
2020.emnlp-main.152,CN,2020,EMNLP,11.76,1.0704073217401198,448.0,0,3
2020.emnlp-main.164,CN,2020,EMNLP,113.8,2.056142262059052,448.0,0,1
2020.emnlp-main.165,CN,2020,EMNLP,113.8,2.056142262059052,448.0,0,1
2020.emnlp-main.166,CN,2020,EMNLP,11.76,1.0704073217401198,448.0,0,1
2020.emnlp-main.169,CN,2020,EMNLP,8.873,0.9480704815189411,448.0,0,3
2020.emnlp-main.175,CN,2020,EMNLP,48.6,1.6866362692622934,448.0,0,1
2020.emnlp-main.176,CN,2020,EMNLP,448.0,2.651278013998144,448.0,1,1
2020.emnlp-main.179,CN,2020,EMNLP,2496.0,3.397244581010386,448.0,1,2
2020.emnlp-main.181,CN,2020,EMNLP,11.34,1.0546130545568877,448.0,0,1
2020.emnlp-main.188,CN,2020,EMNLP,16.252,1.210906813654374,448.0,0,1
2020.emnlp-main.191,CN,2020,EMNLP,6.691,0.8254910298794309,448.0,0,3
2020.emnlp-main.193,CN,2020,EMNLP,47.04,1.672467313068082,448.0,0,2
2020.emnlp-main.216,CN,2020,EMNLP,76.208,1.8820005641675153,448.0,0,1
2020.emnlp-main.226,CN,2020,EMNLP,17920.0,4.253338005326106,448.0,1,2
2020.emnlp-main.227,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.228,CN,2020,EMNLP,48.6,1.6866362692622934,448.0,0,1
2020.emnlp-main.233,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.238,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.243,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.250,CN,2020,EMNLP,9.526,0.9789105771755716,448.0,0,1
2020.emnlp-main.265,CN,2020,EMNLP,113.8,2.056142262059052,448.0,0,1
2020.emnlp-main.269,CN,2020,EMNLP,448.0,2.651278013998144,448.0,1,2
2020.emnlp-main.273,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.277,CN,2020,EMNLP,90.72,1.9577030415488315,448.0,0,1
2020.emnlp-main.278,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.279,CN,2020,EMNLP,107.0,2.0293837776852097,448.0,0,2
2020.emnlp-main.282,CN,2020,EMNLP,4.981,0.6973165417323833,448.0,0,2
2020.emnlp-main.291,CN,2020,EMNLP,11.34,1.0546130545568877,448.0,0,1
2020.emnlp-main.295,CN,2020,EMNLP,224.0,2.3502480183341627,448.0,0,1
2020.emnlp-main.297,CN,2020,EMNLP,896.0,2.9523080096621253,448.0,1,2
2020.emnlp-main.298,CN,2020,EMNLP,455.2,2.6582022533870147,448.0,1,2
2020.emnlp-main.300,CN,2020,EMNLP,113.8,2.056142262059052,448.0,0,1
2020.emnlp-main.309,CN,2020,EMNLP,113.8,2.056142262059052,448.0,0,1
2020.emnlp-main.313,CN,2020,EMNLP,1000.0,3.0,448.0,1,1
2020.emnlp-main.318,CN,2020,EMNLP,5.046,0.7029472461815558,448.0,0,1
2020.emnlp-main.32,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.35,CN,2020,EMNLP,455.2,2.6582022533870147,448.0,1,2
2020.emnlp-main.372,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,2
2020.emnlp-main.411,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,2
2020.emnlp-main.444,CN,2020,EMNLP,448.0,2.651278013998144,448.0,1,1
2020.emnlp-main.474,CN,2020,EMNLP,19.052,1.2799405728395528,448.0,0,1
2020.emnlp-main.486,CN,2020,EMNLP,11.34,1.0546130545568877,448.0,0,2
2020.emnlp-main.488,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,3
2020.emnlp-main.499,CN,2020,EMNLP,12.15,1.084576277934331,448.0,0,1
2020.emnlp-main.511,CN,2020,EMNLP,11.34,1.0546130545568877,448.0,0,2
2020.emnlp-main.514,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.515,CN,2020,EMNLP,6.691,0.8254910298794309,448.0,0,2
2020.emnlp-main.531,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,2
2020.emnlp-main.535,CN,2020,EMNLP,2688.0,3.429429264381788,448.0,1,3
2020.emnlp-main.538,CN,2020,EMNLP,1248.0,3.0962145853464054,448.0,1,1
2020.emnlp-main.544,CN,2020,EMNLP,11.34,1.0546130545568877,448.0,0,1
2020.emnlp-main.548,CN,2020,EMNLP,9.526,0.9789105771755716,448.0,0,2
2020.emnlp-main.555,CN,2020,EMNLP,113.8,2.056142262059052,448.0,0,1
2020.emnlp-main.56,CN,2020,EMNLP,224.0,2.3502480183341627,448.0,0,2
2020.emnlp-main.566,CN,2020,EMNLP,448.0,2.651278013998144,448.0,1,1
2020.emnlp-main.567,CN,2020,EMNLP,455.2,2.6582022533870147,448.0,1,1
2020.emnlp-main.569,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,2
2020.emnlp-main.57,CN,2020,EMNLP,130.5,2.1156105116742996,448.0,0,2
2020.emnlp-main.570,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.581,CN,2020,EMNLP,896.0,2.9523080096621253,448.0,1,1
2020.emnlp-main.582,CN,2020,EMNLP,113.8,2.056142262059052,448.0,0,1
2020.emnlp-main.633,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,2
2020.emnlp-main.700,CN,2020,EMNLP,1792.0,3.2533380053261065,448.0,1,1
2020.emnlp-main.72,CN,2020,EMNLP,119.2,2.076276255404218,448.0,0,1
2020.emnlp-main.729,CN,2020,EMNLP,107.0,2.0293837776852097,448.0,0,1
2020.emnlp-main.738,CN,2020,EMNLP,1248.0,3.0962145853464054,448.0,1,1
2020.emnlp-main.740,CN,2020,EMNLP,9.526,0.9789105771755716,448.0,0,1
2020.emnlp-main.752,CN,2020,EMNLP,11.34,1.0546130545568877,448.0,0,1
2020.emnlp-main.77,CN,2020,EMNLP,2496.0,3.397244581010386,448.0,1,1
2020.emnlp-main.78,CN,2020,EMNLP,94.08,1.9734973087320633,448.0,0,1
2020.emnlp-main.80,CN,2020,EMNLP,448.0,2.651278013998144,448.0,1,2
2020.emnlp-main.81,CN,2020,EMNLP,38.104,1.580970568503534,448.0,0,1
2020.emnlp-main.90,CN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,3
2020.emnlp-main.92,CN,2020,EMNLP,113.8,2.056142262059052,448.0,0,1
2020.emnlp-main.99,CN,2020,EMNLP,1248.0,3.0962145853464054,448.0,1,2
2020.acl-main.133,DE,2020,ACL,9.526,0.9789105771755716,448.0,0,1
2020.acl-main.145,DE,2020,ACL,35.492,1.5501304728469034,448.0,0,2
2020.acl-main.167,DE,2020,ACL,112.0,2.0492180226701815,448.0,0,2
2020.acl-main.323,DE,2020,ACL,22.68,1.355643050220869,448.0,0,2
2020.acl-main.368,DE,2020,ACL,11.34,1.0546130545568877,448.0,0,1
2020.acl-main.37,DE,2020,ACL,22.68,1.355643050220869,448.0,0,2
2020.acl-main.38,DE,2020,ACL,22.68,1.355643050220869,448.0,0,2
2020.acl-main.624,DE,2020,ACL,107.0,2.0293837776852097,448.0,0,1
2020.emnlp-main.110,DE,2020,EMNLP,9.526,0.9789105771755716,448.0,0,1
2020.emnlp-main.174,DE,2020,EMNLP,112.0,2.0492180226701815,448.0,0,2
2020.emnlp-main.194,DE,2020,EMNLP,130.5,2.1156105116742996,448.0,0,1
2020.emnlp-main.203,DE,2020,EMNLP,45.36,1.6566730458848502,448.0,0,1
2020.emnlp-main.214,DE,2020,EMNLP,910.4,2.959232249050996,448.0,1,1
2020.emnlp-main.26,DE,2020,EMNLP,11.34,1.0546130545568877,448.0,0,1
2020.emnlp-main.316,DE,2020,EMNLP,11.34,1.0546130545568877,448.0,0,2
2020.emnlp-main.323,DE,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.358,DE,2020,EMNLP,90.72,1.9577030415488315,448.0,0,1
2020.emnlp-main.365,DE,2020,EMNLP,1792.0,3.2533380053261065,448.0,1,1
2020.emnlp-main.396,DE,2020,EMNLP,11.34,1.0546130545568877,448.0,0,1
2020.emnlp-main.423,DE,2020,EMNLP,45.36,1.6566730458848502,448.0,0,2
2020.emnlp-main.434,DE,2020,EMNLP,224.0,2.3502480183341627,448.0,0,1
2020.emnlp-main.479,DE,2020,EMNLP,113.8,2.056142262059052,448.0,0,2
2020.emnlp-main.535,DE,2020,EMNLP,2688.0,3.429429264381788,448.0,1,3
2020.emnlp-main.575,DE,2020,EMNLP,1248.0,3.0962145853464054,448.0,1,1
2020.emnlp-main.577,DE,2020,EMNLP,8.873,0.9480704815189411,448.0,0,2
2020.emnlp-main.596,DE,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.604,DE,2020,EMNLP,23.52,1.3714373174041008,448.0,0,1
2020.acl-main.149,DK,2020,ACL,152.416,2.1830305598314963,448.0,0,5
2020.acl-main.215,DK,2020,ACL,11.34,1.0546130545568877,448.0,0,1
2020.acl-main.648,DK,2020,ACL,107.0,2.0293837776852097,448.0,0,2
2020.emnlp-main.256,DK,2020,EMNLP,261.0,2.416640507338281,448.0,0,1
2020.emnlp-main.263,DK,2020,EMNLP,6.691,0.8254910298794309,448.0,0,1
2020.emnlp-main.639,DK,2020,EMNLP,6.691,0.8254910298794309,448.0,0,1
2020.emnlp-main.441,ES,2020,EMNLP,113.8,2.056142262059052,448.0,0,1
2020.emnlp-main.584,FI,2020,EMNLP,2496.0,3.397244581010386,448.0,1,4
2020.acl-main.144,FR,2020,ACL,9.526,0.9789105771755716,448.0,0,1
2020.acl-main.156,FR,2020,ACL,45.36,1.6566730458848502,448.0,0,1
2020.emnlp-main.301,FR,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.580,FR,2020,EMNLP,1792.0,3.2533380053261065,448.0,1,3
2020.emnlp-main.632,FR,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.acl-main.129,GB,2020,ACL,107.0,2.0293837776852097,448.0,0,1
