country_code,full_count_n,full_count_top20_n,median_compute_tflops,p80_compute_tflops,median_log10_compute,p80_log10_compute,top20_compute_share,top20_compute_intensity,full_count_n_rank,top20_compute_share_rank
CN,2915,887,330.0,2496.0,2.5185139398778875,3.397244581010386,0.30428816466552316,1.5214408233276158,1,11
US,2884,767,312.0,1560.0,2.494154594018443,3.1931245983544616,0.2659500693481276,1.329750346740638,2,14
GB,534,96,312.0,1248.0,2.494154594018443,3.0962145853464054,0.1797752808988764,0.898876404494382,3,30
KR,412,90,312.0,1248.0,2.494154594018443,3.0962145853464054,0.21844660194174756,1.0922330097087378,4,20
DE,380,56,312.0,955.8399999999998,2.494154594018443,2.9803764702414557,0.14736842105263157,0.7368421052631577,5,34
SG,346,75,312.0,1512.0,2.494154594018443,3.1795517911651876,0.21676300578034682,1.083815028901734,6,21
CA,253,69,312.0,2496.0,2.494154594018443,3.397244581010386,0.2727272727272727,1.3636363636363635,7,13
IN,187,25,312.0,330.0,2.494154594018443,2.5185139398778875,0.13368983957219252,0.6684491978609626,8,37
JP,177,47,312.0,2496.0,2.494154594018443,3.397244581010386,0.2655367231638418,1.327683615819209,9,15
AU,173,36,312.0,1248.0,2.494154594018443,3.0962145853464054,0.20809248554913296,1.0404624277456647,10,22
CH,144,26,312.0,1248.0,2.494154594018443,3.0962145853464054,0.18055555555555555,0.9027777777777777,11,29
IT,117,16,299.4,724.0,2.4762517960070336,2.859738566197147,0.13675213675213677,0.6837606837606838,12,36
IL,109,20,312.0,896.0,2.494154594018443,2.9523080096621253,0.1834862385321101,0.9174311926605505,13,27
FR,104,21,312.0,1248.0,2.494154594018443,3.0962145853464054,0.20192307692307693,1.0096153846153846,14,23
NL,98,13,312.0,684.0000000000009,2.494154594018443,2.8339169755912583,0.1326530612244898,0.6632653061224489,15,39
AE,95,24,568.0,2496.0,2.754348335711019,3.397244581010386,0.25263157894736843,1.263157894736842,16,16
DK,74,9,312.0,809.1200000000007,2.494154594018443,2.9066346956738487,0.12162162162162163,0.6081081081081081,17,43
ES,55,10,312.0,1041.6000000000008,2.494154594018443,3.0157510727473213,0.18181818181818182,0.9090909090909091,18,28
PT,32,4,312.0,476.4,2.494154594018443,2.67797175281074,0.125,0.625,19,41
MO,29,13,989.0,2496.0,2.9951962915971793,3.397244581010386,0.4482758620689655,2.2413793103448274,20,6
AT,28,8,312.0,2102.4000000000015,2.494154594018443,3.310167465072307,0.2857142857142857,1.4285714285714284,21,12
SE,27,6,312.0,1248.0,2.494154594018443,3.0962145853464054,0.2222222222222222,1.111111111111111,22,19
SA,26,5,321.0,2494.4,2.506334266948165,3.3969660978447664,0.19230769230769232,0.9615384615384616,23,26
RU,26,3,312.0,448.0,2.494154594018443,2.651278013998144,0.11538461538461539,0.5769230769230769,23,45
LT,25,15,2496.0,2496.0,3.397244581010386,3.397244581010386,0.6,2.9999999999999996,25,2
BD,25,3,312.0,1248.0,2.494154594018443,3.0962145853464054,0.12,0.6,25,44
CZ,24,2,267.1,571.2000000000006,2.4204493243116456,2.7421755265993695,0.08333333333333333,0.41666666666666663,27,49
IE,23,3,130.5,756.0,2.1156105116742996,2.8785217955012063,0.13043478260869565,0.6521739130434782,28,40
KE,19,2,312.0,918.72,2.494154594018443,2.9629855051871634,0.10526315789473684,0.5263157894736842,29,47
QA,18,3,112.0,364.08000000000027,2.0492180226701815,2.5415435112575904,0.16666666666666666,0.8333333333333333,30,31
GR,15,2,312.0,966.4000000000003,2.494154594018443,2.9810893247989814,0.13333333333333333,0.6666666666666666,31,38
BE,15,1,312.0,730.4000000000001,2.494154594018443,2.863495212057959,0.06666666666666667,0.3333333333333333,31,51
VN,15,1,312.0,777.6000000000006,2.494154594018443,2.8748780655027764,0.06666666666666667,0.3333333333333333,31,51
FI,14,5,404.5,2496.0,2.606304186535671,3.397244581010386,0.35714285714285715,1.7857142857142856,34,8
PL,13,4,724.0,5008.800000000006,2.859738566197147,3.6539196971369674,0.3076923076923077,1.5384615384615385,35,9
TH,13,4,312.0,1996.8000000000018,2.494154594018443,3.2768325827447944,0.3076923076923077,1.5384615384615385,35,9
SK,13,1,756.0,1248.0,2.8785217955012063,3.0962145853464054,0.07692307692307693,0.38461538461538464,35,50
IR,12,2,269.8,326.40000000000003,2.425663425870738,2.5136420707059988,0.16666666666666666,0.8333333333333333,38,31
NZ,11,4,1248.0,2496.0,3.0962145853464054,3.397244581010386,0.36363636363636365,1.8181818181818181,39,7
NO,10,2,312.0,2956.800000000001,2.494154594018443,3.3319039580042826,0.2,1.0,40,24
LB,10,1,222.0,513.6000000000001,2.328719161351481,2.6194384614559243,0.1,0.5,40,48
BR,9,1,330.0,1138.4000000000003,2.5185139398778875,3.0140482068439485,0.1111111111111111,0.5555555555555555,42,46
ZA,8,1,305.7,578.4000000000002,2.4852031950127382,2.7247749149081013,0.125,0.625,43,41
ID,7,4,1512.0,2496.0,3.1795517911651876,3.397244581010386,0.5714285714285714,2.8571428571428568,44,3
MX,7,1,312.0,1299.2000000000007,2.494154594018443,3.0738970357317794,0.14285714285714285,0.7142857142857142,44,35
RO,6,1,368.9,989.4,2.425663425870738,2.9953719060281623,0.16666666666666666,0.8333333333333333,46,31
PH,5,1,888.8,1708.8000000000002,2.9488040459328113,3.2230903491342273,0.2,1.0,47,24
MA,5,0,312.0,748.8000000000001,2.494154594018443,2.8553905888152205,0.0,0.0,47,53
NG,5,0,113.8,428.80000000000007,2.056142262059052,2.5857852771471794,0.0,0.0,47,53
MY,4,1,1412.2,2495.04,2.957740018861327,3.3970774911110144,0.25,1.25,50,17
ZW,4,1,1154.7,3211.2000000000016,3.057972918617006,3.3849890717207702,0.25,1.25,50,17
AR,4,0,221.0,802.8000000000004,2.2838659812740345,2.7829290803928077,0.0,0.0,50,53
BG,4,0,212.0,448.20000000000016,2.271686308344312,2.6223249628151932,0.0,0.0,50,53
SN,4,0,112.9,370.68000000000023,2.0526801423646166,2.385094075435914,0.0,0.0,50,53
TR,4,0,121.25,577.5000000000005,2.0824142671722408,2.5078521411431423,0.0,0.0,50,53
UG,4,0,112.9,370.68000000000023,2.0526801423646166,2.385094075435914,0.0,0.0,50,53
GE,3,0,312.0,484.08,2.494154594018443,2.664030912609986,0.0,0.0,57,53
LK,3,0,91.06,107.884,1.9593276459721711,2.029278115278535,0.0,0.0,57,53
MW,3,0,112.0,113.08,2.0492180226701815,2.053372566303504,0.0,0.0,57,53
UY,3,0,224.0,996.8000000000001,2.3502480183341627,2.8478302820327777,0.0,0.0,57,53
MK,2,2,4536.0,5443.2,3.6310967846611595,3.7214057833603538,1.0,5.0,61,1
GH,2,1,6204.0,9739.2,3.288398186087787,3.764944341329394,0.5,2.5,61,4
MZ,2,1,3086.5,4863.400000000001,2.939260897750603,3.4446714285961315,0.5,2.5,61,4
CM,2,0,212.0,272.0,2.271686308344312,2.4051672797487904,0.0,0.0,61,53
EE,2,0,80.925,122.19,1.6298990391386918,1.9570926958613082,0.0,0.0,61,53
KH,2,0,91.5,103.8,1.9502381856946283,2.00962608787996,0.0,0.0,61,53
LU,2,0,165.35,174.74,2.2164501876061182,2.241187219963958,0.0,0.0,61,53
