year,quantifiable_papers,year_p80_cutoff_tflops,top20_papers,top20_share
2020,461,448.0,101,0.21908893709327548
2021,741,448.0,172,0.2321187584345479
2022,876,896.0,209,0.23858447488584475
2023,1078,896.0,259,0.24025974025974026
2024,1440,2496.0,325,0.22569444444444445
2025,2304,2496.0,656,0.2847222222222222
