year,total_papers,standardizable_gpu_model_papers,gpu_model_count_papers,gpu_memory_papers,complete_configuration_papers,standardizable_gpu_model_share_pct,gpu_model_count_share_pct,gpu_memory_share_pct,complete_configuration_share_pct
2020,1529,482,382,481,382,31.523871811641595,24.9836494440811,31.458469587965993,24.9836494440811
2021,1895,775,624,775,624,40.89709762532981,32.928759894459105,40.89709762532981,32.928759894459105
2022,1872,900,718,900,718,48.07692307692308,38.35470085470086,48.07692307692308,38.35470085470086
2023,1958,1103,894,1102,893,56.33299284984679,45.658835546476,56.281920326864146,45.607763023493355
2024,2619,1451,1127,1443,1124,55.40282550591829,43.03169148529973,55.09736540664376,42.91714394807178
2025,4048,2313,1962,2288,1948,57.1393280632411,48.46837944664031,56.52173913043478,48.12252964426877
