access_regime,papers,median_reported_gpu_capacity_tflops,q25_reported_gpu_capacity_tflops,q75_reported_gpu_capacity_tflops,top20_compute_tail_papers,top20_compute_tail_share,paper_share
Academic-only,3005,312.0,113.8,714.6,472,0.15707154742096505,0.43582306018854244
Industry-only,341,756.0,113.8,2496.0,162,0.4750733137829912,0.04945612762871646
Industry-academia collaboration,2336,448.0,119.1,2494.4,819,0.3505993150684932,0.3387962291515591
Other cross-sector collaboration,1140,312.0,119.1,1248.0,251,0.22017543859649122,0.1653372008701958
Other / mixed,73,312.0,112.0,1248.0,16,0.2191780821917808,0.010587382160986222
