model,model_family,term,term_label,outcome,sample,nobs,r_squared,adj_r_squared,coef,std_err,p_value,ci_low,ci_high,percent_change,percent_change_ci_low,percent_change_ci_high,formula,cov_type
S1,strict_raw_robustness,Company_i,Company,log10_max_tflops_raw,strict_raw_max_row,5357,0.19149549067316107,0.1860244075273404,0.26667966480310223,0.01599346802527468,2.0160494234631445e-62,0.2353330434856709,0.29802628612053356,84.79051031289346,71.92262893011443,98.62151314345222,log10_max_tflops_raw ~ Company_i + C(year_fe) + C(topic_fe) + C(venue_fe),HC3
S2,strict_raw_robustness,IndustryAcademia_i,Industry-academia,log10_max_tflops_raw,strict_raw_max_row,5357,0.1701806525799393,0.16456533368762316,0.19547339669785696,0.016538497892703685,3.1027487140176373e-32,0.16305853646976615,0.22788825692594777,56.8459816587479,45.56552681504282,69.00060406303585,log10_max_tflops_raw ~ IndustryAcademia_i + C(year_fe) + C(topic_fe) + C(venue_fe),HC3
S3,strict_raw_robustness,CrossSector_i,Cross-sector,log10_max_tflops_raw,strict_raw_max_row,5357,0.16439203280605796,0.15873754280248997,0.160247960868871,0.015447537927645642,3.2666374095767113e-25,0.12997134288086903,0.19052457885687296,44.626528166963865,34.8873873598319,55.06885453886709,log10_max_tflops_raw ~ CrossSector_i + C(year_fe) + C(topic_fe) + C(venue_fe),HC3
S4,strict_raw_robustness,International_i,International,log10_max_tflops_raw,strict_raw_max_row,5357,0.14788434150069152,0.14211814531535794,0.029552773724442254,0.01619319561242169,0.06799924260168064,-0.0021853064705162836,0.06129085391940079,7.041644772439226,-0.5019215532146015,15.157135639731045,log10_max_tflops_raw ~ International_i + C(year_fe) + C(topic_fe) + C(venue_fe),HC3
S5,strict_raw_robustness,log1p_nOrganizations_i,log(1+n organizations),log10_max_tflops_raw,strict_raw_max_row,5357,0.15521733609834054,0.14950076168096094,0.14932769756704992,0.02150688356592979,3.8317686259184164e-12,0.10717498035813117,0.19148041477596867,41.03525807338373,27.98968799083199,55.41052042607335,log10_max_tflops_raw ~ log1p_nOrganizations_i + C(year_fe) + C(topic_fe) + C(venue_fe),HC3
