model,model_family,term,term_label,outcome,sample,nobs,r_squared,adj_r_squared,coef,std_err,p_value,ci_low,ci_high,percent_change,percent_change_ci_low,percent_change_ci_high,formula,cov_type
A1,appendix_full_model,Company_i,Company,log10_max_tflops_raw,strict_raw_max_row,5357,0.2009179108445841,0.19490525404130776,0.4738880838734191,0.0417729649344116,7.909135889567231e-30,0.39201457707451776,0.5557615906723203,197.77489753432204,146.61221111215923,259.5519021612799,log10_max_tflops_raw ~ Company_i + IndustryAcademia_i + CrossSector_i + International_i + log1p_nOrganizations_i + C(year_fe) + C(topic_fe) + C(venue_fe),HC3
A1,appendix_full_model,IndustryAcademia_i,Industry-academia,log10_max_tflops_raw,strict_raw_max_row,5357,0.2009179108445841,0.19490525404130776,-0.2993226425941292,0.046536284069655036,1.2591324229810843e-10,-0.39053208334497813,-0.2081132018432803,-49.80304682376418,-59.31185255202469,-38.072036545802554,log10_max_tflops_raw ~ Company_i + IndustryAcademia_i + CrossSector_i + International_i + log1p_nOrganizations_i + C(year_fe) + C(topic_fe) + C(venue_fe),HC3
A1,appendix_full_model,CrossSector_i,Cross-sector,log10_max_tflops_raw,strict_raw_max_row,5357,0.2009179108445841,0.19490525404130776,0.05667966872077543,0.0233419091697446,0.015172458553977206,0.010930367417670776,0.10242897002388007,13.940906078198157,2.5487491587801614,26.598619528936673,log10_max_tflops_raw ~ Company_i + IndustryAcademia_i + CrossSector_i + International_i + log1p_nOrganizations_i + C(year_fe) + C(topic_fe) + C(venue_fe),HC3
A1,appendix_full_model,International_i,International,log10_max_tflops_raw,strict_raw_max_row,5357,0.2009179108445841,0.19490525404130776,-0.023311868622895415,0.019068631445698914,0.22150935465354626,-0.06068569949093323,0.014061962245142397,-5.226235535258539,-13.041047325202214,3.290876379442076,log10_max_tflops_raw ~ Company_i + IndustryAcademia_i + CrossSector_i + International_i + log1p_nOrganizations_i + C(year_fe) + C(topic_fe) + C(venue_fe),HC3
A1,appendix_full_model,log1p_nOrganizations_i,log(1+n organizations),log10_max_tflops_raw,strict_raw_max_row,5357,0.2009179108445841,0.19490525404130776,0.08487591629834976,0.03075091099273015,0.005778179093307897,0.02460523826080182,0.1451465943358977,21.583856978813042,5.829133013643184,39.68397790747025,log10_max_tflops_raw ~ Company_i + IndustryAcademia_i + CrossSector_i + International_i + log1p_nOrganizations_i + C(year_fe) + C(topic_fe) + C(venue_fe),HC3
