year,papers,median_tflops,q25_tflops,q75_tflops,p90_tflops,p95_tflops,max_tflops,mean_tflops
2020,329,90.72,12.15,448.0,1792.0,4992.0,17920.0,694.3977294832827
2021,502,112.0,32.62,448.0,1792.0,4992.0,28672.0,729.3984262948208
2022,652,284.0,112.0,896.0,4992.0,4992.0,39936.0,1259.1252116564417
2023,852,448.0,112.0,1197.2,4992.0,4992.0,39936.0,1572.7314929577462
2024,1146,896.0,309.6,4992.0,4992.0,7408.0,39936.0,2850.9702286212914
2025,1973,1248.0,624.0,4992.0,4992.0,9674.23999999993,39936.0,2950.39716675114
