generation_group,2020,2021,2022,2023,2024,2025
Pascal,31.019522776572668,17.139001349527664,7.534246575342466,4.174397031539889,1.1111111111111112,0.3038194444444444
Volta,33.18872017353579,38.32658569500675,36.18721461187214,22.727272727272727,9.166666666666666,3.8628472222222223
Turing,21.90889370932755,29.149797570850204,18.835616438356166,11.224489795918368,4.097222222222222,1.8663194444444444
Ampere,5.639913232104122,11.336032388663968,35.273972602739725,60.48237476808905,77.84722222222223,73.4375
Ada Lovelace,0.21691973969631237,0.1349527665317139,0.228310502283105,0.5565862708719852,4.513888888888889,7.769097222222222
Hopper,0.0,0.0,0.0,0.18552875695732837,2.7777777777777777,11.979166666666666
Other,8.026030368763557,3.913630229419703,1.9406392694063928,0.6493506493506493,0.4861111111111111,0.78125
