year,Unspecified,1,2,3-4,5-8,9-16,17-32,33-64,65+
2020,81,194,34,70,54,16,4,4,4
2021,128,310,67,100,89,29,6,6,6
2022,153,328,74,96,147,43,19,9,7
2023,178,420,95,108,179,58,17,12,11
2024,261,369,107,220,318,90,37,24,14
2025,273,577,249,369,567,169,47,29,24
