year,rank,benchmark_gpu_name,papers,paper_share_pct,estimated_gpu_units,gpu_papers_in_year,generation,family
2020,1,NVIDIA Tesla V100 PCIe 16 GB,120,26.030368763557483,807,461,Volta,Tesla
2021,1,NVIDIA Tesla V100 PCIe 16 GB,226,30.49932523616734,1402,741,Volta,Tesla
2022,1,NVIDIA Tesla V100 PCIe 16 GB,239,27.28310502283105,1433,876,Volta,Tesla
2023,1,NVIDIA A100,285,26.437847866419293,2596,1078,Ampere,Datacenter A-series
2024,1,NVIDIA A100,503,34.93055555555556,3332,1440,Ampere,Datacenter A-series
2025,1,NVIDIA A100,717,31.119791666666668,4564,2304,Ampere,Datacenter A-series
