model_id,nobs,award_events,event_rate,coef,p,ci_low,ci_high,odds_ratio_per_10x,or_ci_low,or_ci_high,profile_likelihood,exploratory,status,reason
M0,2660,48,0.01804511278195489,0.23865372507407887,0.3194276639776897,-0.24061747387502075,0.689230459649542,1.2695388509906012,0.7861422888424907,1.9921818788730625,1,1,ok,
M3,2660,48,0.01804511278195489,0.30514570782332834,0.21490482730617508,-0.18513938559995322,0.7677088243985611,1.3568226882842809,0.8309884479560127,2.1548235145434456,1,1,ok,
M4,2660,48,0.01804511278195489,0.286350544115907,0.242932270218859,-0.20290940470115476,0.7475415110834196,1.3315591436728695,0.8163521957467391,2.1118017880473356,1,1,ok,
