Outcome,Specification,N,β,SE,95% CI,p,R² controls-only,R² full,ΔR²
NLP topic-year percentile,Common-sample baseline,2077,0.0313,0.0118,"[0.0081, 0.0545]",0.008,0.089544,0.092777,0.003233
NLP topic-year percentile,+ pre-publication controls,2077,0.0274,0.0121,"[0.0037, 0.0512]",0.024,0.133011,0.135354,0.002342
NLP topic-year percentile,+ public artifact,2077,0.0265,0.0121,"[0.0028, 0.0502]",0.028,0.136231,0.138415,0.002184
OpenAlex field-normalized percentile,Common-sample baseline,2077,0.0116,0.0091,"[-0.0062, 0.0295]",0.202,0.090854,0.091635,7.80e-04
OpenAlex field-normalized percentile,+ pre-publication controls,2077,0.0105,0.0094,"[-0.0080, 0.0290]",0.264,0.117182,0.117783,6.01e-04
OpenAlex field-normalized percentile,+ public artifact,2077,0.0102,0.0095,"[-0.0084, 0.0287]",0.282,0.117935,0.118497,5.62e-04
Log citations,Common-sample baseline,2077,0.1617,0.0507,"[0.0623, 0.2611]",0.001,0.210911,0.215346,0.004435
Log citations,+ pre-publication controls,2077,0.1438,0.0521,"[0.0417, 0.2458]",0.006,0.245451,0.248755,0.003304
Log citations,+ public artifact,2077,0.1404,0.0520,"[0.0385, 0.2422]",0.007,0.247679,0.250826,0.003147
