row,col,compute_group,impact_group,cell_label,n,n_total,row_total,col_total,share_all,share_within_impact,share_within_compute,top_fraction_target,years
0,0,High compute,High impact,high-compute / high-impact,92,3156,634,322,0.029150823827629912,0.2857142857142857,0.14511041009463724,0.2,2020-2023
0,1,High compute,Not high impact,high-compute / ordinary-impact,542,3156,634,2834,0.17173637515842838,0.19124911785462245,0.8548895899053628,0.2,2020-2023
1,0,Not high compute,High impact,non-high-compute / high-impact,230,3156,2522,322,0.07287705956907478,0.7142857142857143,0.09119746233148295,0.2,2020-2023
1,1,Not high compute,Not high impact,non-high-compute / ordinary-impact,2292,3156,2522,2834,0.7262357414448669,0.8087508821453776,0.908802537668517,0.2,2020-2023
