model_id,term_order,term,term_label,sample,year_window,nobs,award_events,event_rate,coef,lrt_backcorrected_se,profile_ci_low,profile_ci_high,penalized_lrt_p,holm_p_two_terms,odds_ratio,or_ci_low,or_ci_high,effect_scale,omnibus_chi2,omnibus_df,omnibus_p,constrained_loglik,constrained_n_iter,constrained_converged,full_penalized_loglik,full_n_iter,full_converged,profile_likelihood_ci,formula,sample_id_sha256,status
joint_count_ampere,1,log10_maxrow_gpu_count,GPU count,strict_raw_2020_2025,2020-2025,5357,111,0.02072055254806795,0.5380227469364279,0.18826260226062747,0.17300841398885872,0.8907004796795324,0.004265471732785005,0.00853094346557001,1.7126172345396364,1.188876108232278,2.4368360076918507,odds ratio per 10x GPU count,8.317762267776743,2,0.015625030460518757,-431.6343769717766,12,True,-427.4754958378882,12,True,1,is_award ~ log10_maxrow_gpu_count + ampere_or_newer + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),a5ac66da0806a08feeb05d5ad6769fc30d6eb330fa6ff450f3e70b07ecb62652,ok
joint_count_ampere,2,ampere_or_newer,Ampere-or-newer/equivalent,strict_raw_2020_2025,2020-2025,5357,111,0.02072055254806795,-0.11154257958699026,0.27337090307427764,-0.6322376811208794,0.4361779622231474,0.6832542013992644,0.6832542013992644,0.89445330514011,0.5314013627959359,1.546784039383455,odds ratio vs older generation,8.317762267776743,2,0.015625030460518757,-431.6343769717766,12,True,-427.4754958378882,12,True,1,is_award ~ log10_maxrow_gpu_count + ampere_or_newer + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),a5ac66da0806a08feeb05d5ad6769fc30d6eb330fa6ff450f3e70b07ecb62652,ok
