model_id,outcome,family,controls,nobs,coef,se,p,ci_low,ci_high,r2,adj_r2,mean_y,pct_per_10x,pp_per_10x,status,reason,delta_r2,coef_attenuation_vs_m0,complete_case_rate,main_analysis_eligible
M0,log1p_cites,ols,Baseline Spec 7,2077,0.16168040728030492,0.05070662948904471,0.0014299038751238579,0.062297239704360644,0.2610635748562492,0.21534555658832144,0.19914325244707742,2.359873344583635,0.17548450499299006,,ok,,0.0044345739888546065,0.0,0.9462414578587699,1
M1,log1p_cites,ols,+ pre-publication author history,2077,0.12606375935007955,0.04995227043653655,0.011613217728829374,0.028159108348463024,0.22396841035169607,0.24238497762594757,0.22597992792887167,2.359873344583635,0.13435449168250346,,ok,,0.0026730693491942015,0.22029043920254898,0.9462414578587699,1
M2,log1p_cites,ols,+ pre-publication institution visibility and collaboration,2077,0.1671827862144893,0.05267322377236691,0.0015037361691872008,0.06394516467103113,0.27042040775794746,0.2269162933029758,0.20861845409121205,2.359873344583635,0.1819702934398546,,ok,,0.004486110598824755,-0.034032441077692877,0.9462414578587699,1
M3,log1p_cites,ols,+ all pre-publication confounder proxies,2077,0.14375876122573647,0.052077668619339774,0.005771853247535646,0.04168840633301875,0.2458291161184542,0.24875506034028172,0.23021495817691262,2.359873344583635,0.1546055393003567,,ok,,0.0033036153371284183,0.11084612140726324,0.9462414578587699,1
M4,log1p_cites,ols,+ public artifact (secondary robustness),2077,0.1403795834229867,0.05195704168592538,0.006895705697647026,0.03854565297532671,0.2422135138706467,0.2508262803425111,0.23195820147706325,2.359873344583635,0.15071050660143603,,ok,,0.0031473581066177037,0.13174647575193843,0.9462414578587699,1
M3,cited_by_count,poisson,+ all pre-publication confounder proxies,2077,0.40713046515206075,0.09419558191931629,1.5449354023567427e-05,0.22251051708740852,0.591750413216713,,,24.405873856523833,0.5025001167815695,,ok,,,,0.9462414578587699,1
M3,citation_normalized_percentile,ols,+ all pre-publication confounder proxies,2077,0.010527359046980945,0.009430207433993181,0.26427475277349166,-0.007955507890387568,0.029010225984349457,0.11778260660132811,0.09601021288467781,0.7762692196677901,,1.0527359046980944,ok,,,,0.9462414578587699,1
M3,is_highly_cited_all_yv,lpm,+ all pre-publication confounder proxies,2077,0.027205768154130647,0.014223433848294054,0.055781009851055344,-0.0006716499250136419,0.05508318623327493,0.06486764442588777,0.04178935332089995,0.10784785748675975,,2.720576815413065,ok,,,,0.9462414578587699,1
