sample,outcome,outcome_label,family,cov_type,model_id,model_label,term,term_label,nobs,coef,se,p,ci_low,ci_high,r2,adj_r2,mean_y,effect_value,effect_unit,formula
strict_raw_2020_2023,cited_by_count,PPML: citation count,poisson,HC0,count_plus_ampere_or_newer,GPU count + Ampere-or-newer indicator,log10_maxrow_gpu_count,Number of GPUs,2194,0.5264228818774487,0.08448618653491932,4.638366025036965e-10,0.3608329990778739,0.6920127646770234,,,24.30401093892434,0.6928658836963828,percent per 10x,cited_by_count ~ log10_maxrow_gpu_count + ampere_or_newer + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2023,cited_by_count,PPML: citation count,poisson,HC0,count_plus_ampere_or_newer,GPU count + Ampere-or-newer indicator,ampere_or_newer,Ampere-or-newer generation,2194,0.2698709347757341,0.13205848031974504,0.04099590612568557,0.011041069495942302,0.5287008000555259,,,24.30401093892434,0.30979539078774776,percent vs older generation,cited_by_count ~ log10_maxrow_gpu_count + ampere_or_newer + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2023,cited_by_count,PPML: citation count,poisson,HC0,paper_total_gpu_count,Total paper GPU count robustness,log10_paper_total_gpu_count,Total paper GPU count,2194,0.5144864267992608,0.08378251598574178,8.213929188705401e-10,0.3502757129330556,0.678697140665466,,,24.30401093892434,0.6727791865947981,percent per 10x,cited_by_count ~ log10_paper_total_gpu_count + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2023,is_highly_cited_all_yv,LPM: high-cited top 10%,lpm,HC3,reported_gpu_capacity,Reported GPU capacity (existing 4.4),log10_max_compute,Reported GPU capacity,2194,0.038363140854829114,0.013752233771400025,0.005277426859714657,0.011409257955909628,0.0653170237537486,0.04506379953004325,0.026417904402317505,0.10847766636280766,3.836314085482911,percentage points per 10x,is_highly_cited_all_yv ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2023,is_highly_cited_all_yv,LPM: high-cited top 10%,lpm,HC3,maxrow_gpu_count,Number of GPUs in max-capacity row,log10_maxrow_gpu_count,Number of GPUs,2194,0.044311316323699154,0.016167359777281724,0.006129191735100405,0.012623873435125464,0.07599875921227284,0.04503331368768815,0.026386823299442197,0.10847766636280766,4.431131632369915,percentage points per 10x,is_highly_cited_all_yv ~ log10_maxrow_gpu_count + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2023,is_highly_cited_all_yv,LPM: high-cited top 10%,lpm,HC3,single_gpu_capability,Single-GPU capability in max row,log10_maxrow_single_gpu_flops,Single-GPU capability,2194,0.03942310512914059,0.033632901895257424,0.24113326792609535,-0.026496171281132894,0.10534238153941407,0.041426606486932194,0.022709692248183422,0.10847766636280766,3.9423105129140588,percentage points per 10x,is_highly_cited_all_yv ~ log10_maxrow_single_gpu_flops + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2023,is_highly_cited_all_yv,LPM: high-cited top 10%,lpm,HC3,count_plus_single_gpu,GPU count + single-GPU capability,log10_maxrow_gpu_count,Number of GPUs,2194,0.0426433808346961,0.016417325082518103,0.009391546461106863,0.010466014950474542,0.07482074671891766,0.04519865436524906,0.026102627452553984,0.10847766636280766,4.26433808346961,percentage points per 10x,is_highly_cited_all_yv ~ log10_maxrow_gpu_count + log10_maxrow_single_gpu_flops + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2023,is_highly_cited_all_yv,LPM: high-cited top 10%,lpm,HC3,count_plus_single_gpu,GPU count + single-GPU capability,log10_maxrow_single_gpu_flops,Single-GPU capability,2194,0.020833111471547584,0.034162661461888795,0.5419803288515099,-0.046124474609788926,0.08779069755288409,0.04519865436524906,0.026102627452553984,0.10847766636280766,2.0833111471547583,percentage points per 10x,is_highly_cited_all_yv ~ log10_maxrow_gpu_count + log10_maxrow_single_gpu_flops + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2023,is_highly_cited_all_yv,LPM: high-cited top 10%,lpm,HC3,count_plus_ampere_or_newer,GPU count + Ampere-or-newer indicator,log10_maxrow_gpu_count,Number of GPUs,2194,0.04414640057760542,0.016188271600846627,0.0063901267292671505,0.01241797126799346,0.07587482988721737,0.04594070565353947,0.026859519766610274,0.10847766636280766,4.414640057760542,percentage points per 10x,is_highly_cited_all_yv ~ log10_maxrow_gpu_count + ampere_or_newer + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2023,is_highly_cited_all_yv,LPM: high-cited top 10%,lpm,HC3,count_plus_ampere_or_newer,GPU count + Ampere-or-newer indicator,ampere_or_newer,Ampere-or-newer generation,2194,0.021735856930367205,0.015033980981008933,0.14823839662427116,-0.007730204336670453,0.05120191819740486,0.04594070565353947,0.026859519766610274,0.10847766636280766,2.1735856930367206,percentage points vs older generation,is_highly_cited_all_yv ~ log10_maxrow_gpu_count + ampere_or_newer + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2023,is_highly_cited_all_yv,LPM: high-cited top 10%,lpm,HC3,paper_total_gpu_count,Total paper GPU count robustness,log10_paper_total_gpu_count,Total paper GPU count,2194,0.046770310081602325,0.015921556809936597,0.003308207839291091,0.015564632156318162,0.07797598800688649,0.045668499784088046,0.027034411913763434,0.10847766636280766,4.677031008160233,percentage points per 10x,is_highly_cited_all_yv ~ log10_paper_total_gpu_count + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2025,is_award,LPM: award,lpm,HC3,reported_gpu_capacity,Reported GPU capacity (existing 4.4),log10_max_compute,Reported GPU capacity,5357,0.008588479333835029,0.004491651344078501,0.05586357446146229,-0.00021499553166975938,0.017391954199339817,0.030803716250317525,0.022039318808722785,0.02072055254806795,0.8588479333835028,percentage points per 10x,is_award ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2025,is_award,LPM: award,lpm,HC3,maxrow_gpu_count,Number of GPUs in max-capacity row,log10_maxrow_gpu_count,Number of GPUs,5357,0.01328466979901942,0.005573748323430056,0.01715188840207323,0.002360323826206002,0.02420901577183284,0.031519329032974386,0.02276140284487771,0.02072055254806795,1.3284669799019422,percentage points per 10x,is_award ~ log10_maxrow_gpu_count + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2025,is_award,LPM: award,lpm,HC3,single_gpu_capability,Single-GPU capability in max row,log10_maxrow_single_gpu_flops,Single-GPU capability,5357,-0.003520108964005447,0.008907989450013669,0.6927225034047678,-0.020979447460695,0.013939229532684108,0.029748737877795084,0.020974800315273212,0.02072055254806795,-0.3520108964005447,percentage points per 10x,is_award ~ log10_maxrow_single_gpu_flops + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2025,is_award,LPM: award,lpm,HC3,count_plus_single_gpu,GPU count + single-GPU capability,log10_maxrow_gpu_count,Number of GPUs,5357,0.014114874938787153,0.005647388503809716,0.012441672869210909,0.0030461968646145685,0.02518355301295974,0.03171208603377229,0.022771798152795286,0.02072055254806795,1.4114874938787154,percentage points per 10x,is_award ~ log10_maxrow_gpu_count + log10_maxrow_single_gpu_flops + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2025,is_award,LPM: award,lpm,HC3,count_plus_single_gpu,GPU count + single-GPU capability,log10_maxrow_single_gpu_flops,Single-GPU capability,5357,-0.008780402110367874,0.009000922721086714,0.32931219174878934,-0.026421886471326095,0.008861082250590346,0.03171208603377229,0.022771798152795286,0.02072055254806795,-0.8780402110367874,percentage points per 10x,is_award ~ log10_maxrow_gpu_count + log10_maxrow_single_gpu_flops + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2025,is_award,LPM: award,lpm,HC3,count_plus_ampere_or_newer,GPU count + Ampere-or-newer indicator,log10_maxrow_gpu_count,Number of GPUs,5357,0.01332727106794779,0.005573228098692473,0.016788740317756675,0.002403944716883901,0.024250597419011678,0.03155583433889242,0.02261410377220796,0.02072055254806795,1.332727106794779,percentage points per 10x,is_award ~ log10_maxrow_gpu_count + ampere_or_newer + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2025,is_award,LPM: award,lpm,HC3,count_plus_ampere_or_newer,GPU count + Ampere-or-newer indicator,ampere_or_newer,Ampere-or-newer generation,5357,-0.002461205816013719,0.005349201072163039,0.6454392912853046,-0.012945447263516319,0.00802303563148888,0.03155583433889242,0.02261410377220796,0.02072055254806795,-0.2461205816013719,percentage points vs older generation,is_award ~ log10_maxrow_gpu_count + ampere_or_newer + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
strict_raw_2020_2025,is_award,LPM: award,lpm,HC3,paper_total_gpu_count,Total paper GPU count robustness,log10_paper_total_gpu_count,Total paper GPU count,5357,0.012192006513235782,0.005418369128759004,0.024441027003711528,0.0015721981659244638,0.0228118148605471,0.03129385521850103,0.022533890081064767,0.02072055254806795,1.2192006513235782,percentage points per 10x,is_award ~ log10_paper_total_gpu_count + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
