model_id,nobs,coef,classical_se,t,df_resid,partial_r2_compute_outcome,robustness_value_zero,robustness_value_alpha_0_05,benchmark,benchmark_multiplier,benchmark_outcome_partial_r2,benchmark_treatment_partial_r2,assumed_outcome_partial_r2,assumed_treatment_partial_r2,bias_adjusted_coef,status,reason
M0,2194,0.17186529925051963,0.045808136585309626,3.751850916931551,2151.0,0.006501565209631587,0.07768977771237041,0.037873789929602164,year-by-venue FE,1.0,0.17147997709275833,0.014652437550088795,0.17147997709275833,0.014652437550088795,0.06458258429999611,ok,
M0,2194,0.17186529925051963,0.045808136585309626,3.751850916931551,2151.0,0.006501565209631587,0.07768977771237041,0.037873789929602164,year-by-venue FE,2.0,0.17147997709275833,0.014652437550088795,0.34295995418551667,0.02930487510017759,-0.04431347506632757,ok,
M0,2194,0.17186529925051963,0.045808136585309626,3.751850916931551,2151.0,0.006501565209631587,0.07768977771237041,0.037873789929602164,topic FE,1.0,0.0484912635748261,0.08921480737440783,0.0484912635748261,0.08921480737440783,0.025443725049299787,ok,
M0,2194,0.17186529925051963,0.045808136585309626,3.751850916931551,2151.0,0.006501565209631587,0.07768977771237041,0.037873789929602164,topic FE,2.0,0.0484912635748261,0.08921480737440783,0.0969825271496522,0.17842961474881566,-0.13646816328322997,ok,
M0,2194,0.17186529925051963,0.045808136585309626,3.751850916931551,2151.0,0.006501565209631587,0.07768977771237041,0.037873789929602164,team size,1.0,0.01317495876960924,0.022697791486824603,0.01317495876960924,0.022697791486824603,0.13470195193632345,ok,
M0,2194,0.17186529925051963,0.045808136585309626,3.751850916931551,2151.0,0.006501565209631587,0.07768977771237041,0.037873789929602164,team size,2.0,0.01317495876960924,0.022697791486824603,0.02634991753921848,0.04539558297364921,0.09666015647276892,ok,
M0,2194,0.17186529925051963,0.045808136585309626,3.751850916931551,2151.0,0.006501565209631587,0.07768977771237041,0.037873789929602164,organization count,1.0,0.002076056504450403,0.0028694564152702672,0.002076056504450403,0.0028694564152702672,0.16667244393787894,ok,
M0,2194,0.17186529925051963,0.045808136585309626,3.751850916931551,2151.0,0.006501565209631587,0.07768977771237041,0.037873789929602164,organization count,2.0,0.002076056504450403,0.0028694564152702672,0.004152113008900806,0.0057389128305405344,0.1614646127433873,ok,
M0,2194,0.17186529925051963,0.045808136585309626,3.751850916931551,2151.0,0.006501565209631587,0.07768977771237041,0.037873789929602164,strongest observed control group,1.0,0.0484912635748261,0.08921480737440783,0.0484912635748261,0.08921480737440783,0.025443725049299787,ok,
M0,2194,0.17186529925051963,0.045808136585309626,3.751850916931551,2151.0,0.006501565209631587,0.07768977771237041,0.037873789929602164,strongest observed control group,2.0,0.0484912635748261,0.08921480737440783,0.0969825271496522,0.17842961474881566,-0.13646816328322997,ok,
