model_id,outcome,family,controls,nobs,coef,se,p,ci_low,ci_high,r2,adj_r2,mean_y,pct_per_10x,pp_per_10x,status,reason,model,author_column,n_authors,cov_type
first-listed author FE,log1p_cites,ols,first-listed author FE,388,-0.21802152284723114,0.2155388317574043,0.3117683155829777,-0.6404698703615817,0.2044268246671193,0.6816644532076637,0.3117549910132169,2.467394207460421,-0.1958918652162286,,ok,,first-listed author FE,first_author_openalex_id,168,clustered by listed author
last-listed author FE,log1p_cites,ols,last-listed author FE,1182,0.08884992366283405,0.09674929746294995,0.3584345422224485,-0.10077521489410028,0.27847506221976837,0.49810562131733294,0.27538232124177286,2.427992676339456,0.09291662309426307,,ok,,last-listed author FE,last_author_openalex_id,322,clustered by listed author
