leave_out_type,left_out,nobs,coef,se,p
year,2020,1970,0.16582561034534066,0.04958139716934515,0.0008242726875052265
year,2021,1722,0.1754305513910007,0.05331510420224358,0.0010002816518319838
year,2022,1547,0.10894433465670125,0.06068365366846186,0.0726086147008932
year,2023,1343,0.2519466535838695,0.06915529924122667,0.00026926842962986074
venue,acl,1363,0.16400326665770565,0.06301454949550353,0.009251297726348346
venue,emnlp,976,0.20358893948131174,0.07302194327714476,0.005302611128044334
venue,naacl,2049,0.16966227527907796,0.051046298469946176,0.0008883361550156825
