sample,outcome,outcome_label,family,cov_type,nobs,gpu_count_coef,gpu_count_se,gpu_count_p,controls_only_formula,gpu_count_formula,base_r2,full_r2,delta_r2,base_adj_r2,full_adj_r2,delta_adj_r2,base_log_likelihood,full_log_likelihood,delta_log_likelihood,base_deviance,full_deviance,delta_deviance,base_aic,full_aic,aic_improvement
strict_raw_2020_2023,log1p_cites,OLS: log1p citations,ols,HC3,2194,0.2216866527768997,0.05706823825486129,0.00010250312338689601,log1p_cites ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),log1p_cites ~ log10_maxrow_gpu_count + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),0.20676705175103183,0.21315254410467166,0.006385492353639832,0.1916543422351361,0.1977887165139679,0.006134374278831789,,,,,,,,,
strict_raw_2020_2023,cited_by_count,PPML: citation count,poisson,HC0,2194,0.532313856627117,0.0842535135902185,2.649668051234175e-10,cited_by_count ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),cited_by_count ~ log10_maxrow_gpu_count + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),,,,,,,-42161.58384703587,-40131.53825051528,2030.045596520591,75650.78551557481,71590.69432253361,4060.0911930411967,84407.16769407174,80349.07650103056,4058.091193041182
strict_raw_2020_2023,is_highly_cited_all_yv,LPM: high-cited top 10%,lpm,HC3,2194,0.044311316323699154,0.016167359777281724,0.006129191735100405,is_highly_cited_all_yv ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),is_highly_cited_all_yv ~ log10_maxrow_gpu_count + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),0.040813124570508674,0.04503331368768815,0.004220189117179474,0.02253865343082051,0.026386823299442197,0.003848169868621687,,,,,,,,,
strict_raw_2020_2025,is_award,LPM: award,lpm,HC3,5357,0.01328466979901942,0.005573748323430056,0.01715188840207323,is_award ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),is_award ~ log10_maxrow_gpu_count + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),0.029716625452502865,0.031519329032974386,0.0018027035804715208,0.02112681219129875,0.02276140284487771,0.00163459065357896,,,,,,,,,
