compute_top_fraction,compute_top_pct,citation_top_fraction,citation_top_pct,n_papers,n_high_compute,n_other_compute,n_high_impact,n_high_compute_high_impact,n_other_high_impact,high_compute_impact_rate,other_compute_impact_rate,rate_difference_pp,relative_risk,share_high_impact_in_high_compute,compute_reference,citation_reference,years
0.1,10,0.05,5,3156,318,2838,163,31,132,0.09748427672955975,0.046511627906976744,5.097264882258301,2.0959119496855347,0.1901840490797546,within publication year,within publication year x venue,2020-2023
0.1,10,0.1,10,3156,318,2838,322,49,273,0.1540880503144654,0.09619450317124736,5.789354714321804,1.6018384131591676,0.15217391304347827,within publication year,within publication year x venue,2020-2023
0.1,10,0.2,20,3156,318,2838,637,91,546,0.2861635220125786,0.19238900634249473,9.377451567008388,1.4874213836477985,0.14285714285714285,within publication year,within publication year x venue,2020-2023
0.2,20,0.05,5,3156,634,2522,163,57,106,0.08990536277602523,0.04203013481363997,4.787522796238526,2.1390691030295814,0.3496932515337423,within publication year,within publication year x venue,2020-2023
0.2,20,0.1,10,3156,634,2522,322,92,230,0.14511041009463724,0.09119746233148295,5.391294776315429,1.5911671924290223,0.2857142857142857,within publication year,within publication year x venue,2020-2023
0.2,20,0.2,20,3156,634,2522,637,177,460,0.27917981072555204,0.1823949246629659,9.678488606258615,1.5306336579344397,0.2778649921507064,within publication year,within publication year x venue,2020-2023
0.3,30,0.05,5,3156,949,2207,163,74,89,0.0779768177028451,0.04032623470774807,3.7650582995097035,1.933649850226732,0.4539877300613497,within publication year,within publication year x venue,2020-2023
0.3,30,0.1,10,3156,949,2207,322,129,193,0.13593256059009484,0.08744902582691437,4.848353476318048,1.5544205244680793,0.40062111801242234,within publication year,within publication year x venue,2020-2023
0.3,30,0.2,20,3156,949,2207,637,249,388,0.2623814541622761,0.17580425917535117,8.657719498692492,1.492463580763256,0.39089481946624804,within publication year,within publication year x venue,2020-2023
