model,nobs,coef,se,p,r2
strict baseline on institution-control sample,2194,0.17186529925051963,0.04913678040147309,0.000469303648083303,0.21192430749050117
strict plus prior org history/collab controls,2194,0.1716704229661882,0.05100601523540279,0.0007635253097937495,0.22402190352404794
