model,spec,formula,controls,outcome,family,compute_var,team_control,cov_type,nobs,df_model,coef,se,p,ci_low,ci_high,r2,adj_r2,mean_y,pct_per_10x,pp_per_10x,compute_top_fraction,compute_top_pct,citation_top_fraction,citation_top_pct,model_id,model_label,effect_label,coef_pp,se_pp,ci_low_pp,ci_high_pp
lpm_7,7,is_yv_top5_cited ~ is_yearly_top10_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,is_yv_top5_cited,lpm,is_yearly_top10_compute,group,HC3,2194,42.0,0.04178350255660681,0.020721857331320148,0.043758420485858214,0.0011694084944420396,0.08239759661877158,0.03819970473435175,0.01941978265106159,0.05697356426618049,,4.178350255660681,0.1,10,0.05,5,binary_yearly_high_compute,Binary yearly high-compute group,percentage-point difference vs other compute papers,4.178350255660681,2.072185733132015,0.11694084944420396,8.239759661877159
lpm_7,7,is_yv_top10_cited ~ is_yearly_top10_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,is_yv_top10_cited,lpm,is_yearly_top10_compute,group,HC3,2194,42.0,0.03883982070724775,0.025258916808460992,0.12412988318224549,-0.010666746525829197,0.0883463879403247,0.04212918864331572,0.023425992884607894,0.10847766636280766,,3.883982070724775,0.1,10,0.1,10,binary_yearly_high_compute,Binary yearly high-compute group,percentage-point difference vs other compute papers,3.883982070724775,2.525891680846099,-1.0666746525829198,8.83463879403247
lpm_7,7,is_yv_top20_cited ~ is_yearly_top10_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,is_yv_top20_cited,lpm,is_yearly_top10_compute,group,HC3,2194,42.0,0.08765351337052749,0.032391591744601884,0.00680872328561689,0.024167160149182854,0.15113986659187212,0.0647222446200848,0.0464601963978829,0.21558796718322698,,8.76535133705275,0.1,10,0.2,20,binary_yearly_high_compute,Binary yearly high-compute group,percentage-point difference vs other compute papers,8.76535133705275,3.2391591744601884,2.4167160149182854,15.113986659187212
lpm_7,7,is_yv_top5_cited ~ is_yearly_top20_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,is_yv_top5_cited,lpm,is_yearly_top20_compute,group,HC3,2194,42.0,0.04915453436361539,0.015067461064971095,0.0011051325808702575,0.019622853337812513,0.07868621538941827,0.042153228682559774,0.023450502324897093,0.05697356426618049,,4.915453436361538,0.2,20,0.05,5,binary_yearly_high_compute,Binary yearly high-compute group,percentage-point difference vs other compute papers,4.915453436361538,1.5067461064971095,1.9622853337812514,7.868621538941826
lpm_7,7,is_yv_top10_cited ~ is_yearly_top20_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,is_yv_top10_cited,lpm,is_yearly_top20_compute,group,HC3,2194,42.0,0.044468219734963566,0.01874880662666289,0.017702180280395052,0.007721233993598392,0.08121520547632874,0.04385721159101619,0.025187756866154598,0.10847766636280766,,4.446821973496356,0.2,20,0.1,10,binary_yearly_high_compute,Binary yearly high-compute group,percentage-point difference vs other compute papers,4.446821973496356,1.874880662666289,0.7721233993598392,8.121520547632874
lpm_7,7,is_yv_top20_cited ~ is_yearly_top20_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,is_yv_top20_cited,lpm,is_yearly_top20_compute,group,HC3,2194,42.0,0.07935825014603169,0.02368868520321499,0.0008079734024041202,0.03292928030662342,0.12578721998543996,0.06643329798316655,0.04820465945006247,0.21558796718322698,,7.935825014603169,0.2,20,0.2,20,binary_yearly_high_compute,Binary yearly high-compute group,percentage-point difference vs other compute papers,7.935825014603169,2.368868520321499,3.292928030662342,12.578721998543996
lpm_7,7,is_yv_top5_cited ~ is_yearly_top30_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,is_yv_top5_cited,lpm,is_yearly_top30_compute,group,HC3,2194,42.0,0.039286097764557104,0.012531592315557682,0.0017187487552832825,0.014724628157125146,0.06384756737198906,0.040889871892562435,0.022162477480422882,0.05697356426618049,,3.92860977645571,0.3,30,0.05,5,binary_yearly_high_compute,Binary yearly high-compute group,percentage-point difference vs other compute papers,3.92860977645571,1.2531592315557682,1.4724628157125146,6.384756737198906
lpm_7,7,is_yv_top10_cited ~ is_yearly_top30_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,is_yv_top10_cited,lpm,is_yearly_top30_compute,group,HC3,2194,42.0,0.03822864793082262,0.016086267390215722,0.017478840846695737,0.006700143200318677,0.06975715266132657,0.04367050257208438,0.024997402203896457,0.10847766636280766,,3.8228647930822617,0.3,30,0.1,10,binary_yearly_high_compute,Binary yearly high-compute group,percentage-point difference vs other compute papers,3.8228647930822617,1.6086267390215723,0.6700143200318677,6.9757152661326565
lpm_7,7,is_yv_top20_cited ~ is_yearly_top30_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,is_yv_top20_cited,lpm,is_yearly_top30_compute,group,HC3,2194,42.0,0.06695818032836132,0.020468567109755087,0.00107066178293012,0.026840525978100237,0.10707583467862239,0.06590204998187388,0.047663038405508895,0.21558796718322698,,6.695818032836131,0.3,30,0.2,20,binary_yearly_high_compute,Binary yearly high-compute group,percentage-point difference vs other compute papers,6.695818032836131,2.0468567109755087,2.6840525978100236,10.70758346786224
