outcome_model,model,spec,formula,controls,outcome,family,compute_var,team_control,cov_type,nobs,df_model,coef,se,p,ci_low,ci_high,r2,adj_r2,mean_y,pct_per_10x,pp_per_10x
Strict raw GPU OLS: normalized citation percentile,ols_4,4,citation_normalized_percentile ~ log10_max_compute + C(year_venue) + C(n_organizations_group),+ Org-count group,citation_normalized_percentile,ols,log10_max_compute,group,HC3,2194,12.0,0.015286295688318564,0.008296890348119498,0.06541481361149469,-0.0009753105776736451,0.03154790195431077,0.04704249414042949,0.04179926164601644,0.7745557942206016,,
Strict raw GPU OLS: normalized citation percentile,ols_5,5,citation_normalized_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group),+ Topic FE + Team,citation_normalized_percentile,ols,log10_max_compute,group,HC3,2194,40.0,0.012686925652819665,0.008722990397002217,0.14582881965041655,-0.0044098213627934285,0.029783672668432758,0.08959250946045394,0.07267829690978889,0.7745557942206016,,
Strict raw GPU OLS: normalized citation percentile,ols_6,6,citation_normalized_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(n_organizations_group),+ Topic FE + Org-count,citation_normalized_percentile,ols,log10_max_compute,group,HC3,2194,40.0,0.01810549232942328,0.008563064299073692,0.03448361741915181,0.0013221947059381227,0.034888789952908436,0.0816099748392285,0.06454745695421649,0.7745557942206016,,
Strict raw GPU OLS: normalized citation percentile,ols_7,7,citation_normalized_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,citation_normalized_percentile,ols,log10_max_compute,group,HC3,2194,42.0,0.012579785697517729,0.008759786430596463,0.15097855203433144,-0.004589080218714013,0.02974865161374947,0.09202570284453548,0.07429677654024469,0.7745557942206016,,
Strict raw GPU LPM: high cited all-yv top10,lpm_1,1,is_highly_cited_all_yv ~ log10_max_compute + C(year_venue),Year x Venue FE,is_highly_cited_all_yv,lpm,log10_max_compute,group,HC3,2194,10.0,0.04501247553111541,0.013164939230368837,0.0006282456620096601,0.019209668780934032,0.0708152822812968,0.008002800006857935,0.0034586076111037256,0.10847766636280766,,4.501247553111541
Strict raw GPU LPM: high cited all-yv top10,lpm_2,2,is_highly_cited_all_yv ~ log10_max_compute + C(year_venue) + C(primary_topic),+ Topic FE,is_highly_cited_all_yv,lpm,log10_max_compute,group,HC3,2194,38.0,0.043956243221910093,0.01359621040424787,0.0012250718265985597,0.0173081605033555,0.07060432594046469,0.0392202400297037,0.02227841595598168,0.10847766636280766,,4.39562432219101
Strict raw GPU LPM: high cited all-yv top10,lpm_3,3,is_highly_cited_all_yv ~ log10_max_compute + C(year_venue) + C(team_size_group),+ Team size,is_highly_cited_all_yv,lpm,log10_max_compute,group,HC3,2194,12.0,0.03812705368797028,0.013185221728451907,0.0038322393323968343,0.012284493972029582,0.06396961340391097,0.014095620610570792,0.008671112333324849,0.10847766636280766,,3.812705368797028
Strict raw GPU LPM: high cited all-yv top10,lpm_4,4,is_highly_cited_all_yv ~ log10_max_compute + C(year_venue) + C(n_organizations_group),+ Org-count group,is_highly_cited_all_yv,lpm,log10_max_compute,group,HC3,2194,12.0,0.044429919666298584,0.013297617942176253,0.0008341894963824137,0.018367067419459503,0.07049277191313766,0.009763083722813648,0.004314737553475556,0.10847766636280766,,4.442991966629858
Strict raw GPU LPM: high cited all-yv top10,lpm_5,5,is_highly_cited_all_yv ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group),+ Topic FE + Team,is_highly_cited_all_yv,lpm,log10_max_compute,group,HC3,2194,40.0,0.03768380292878393,0.013690565427190944,0.00591352652560442,0.010850787763500458,0.0645168180940674,0.04428843725814713,0.02653253270186562,0.10847766636280766,,3.7683802928783927
Strict raw GPU LPM: high cited all-yv top10,lpm_6,6,is_highly_cited_all_yv ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(n_organizations_group),+ Topic FE + Org-count,is_highly_cited_all_yv,lpm,log10_max_compute,group,HC3,2194,40.0,0.04366406848169002,0.013699595199507463,0.0014363134592503416,0.016813355287877578,0.07051478167550246,0.040814623332873556,0.022994179734784792,0.10847766636280766,,4.366406848169002
Strict raw GPU LPM: high cited all-yv top10,lpm_7,7,is_highly_cited_all_yv ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,is_highly_cited_all_yv,lpm,log10_max_compute,group,HC3,2194,42.0,0.038363140854829114,0.013752233771400025,0.005277426859714657,0.011409257955909628,0.0653170237537486,0.04506379953004325,0.026417904402317505,0.10847766636280766,,3.836314085482911
Strict raw GPU LPM: award,lpm_1,1,is_award ~ log10_max_compute + C(year_venue),Year x Venue FE,is_award,lpm,log10_max_compute,group,HC3,5357,16.0,0.00974524531484665,0.004250353705020601,0.021859056675808425,0.0014147051314498914,0.01807578549824341,0.016706463633744728,0.01376026577197309,0.02072055254806795,,0.974524531484665
Strict raw GPU LPM: award,lpm_2,2,is_award ~ log10_max_compute + C(year_venue) + C(primary_topic),+ Topic FE,is_award,lpm,log10_max_compute,group,HC3,5357,44.0,0.009804738253547274,0.004400989243116557,0.025890604703292373,0.0011789578406906295,0.018430518666403918,0.0300080152676373,0.021973443104944534,0.02072055254806795,,0.9804738253547274
Strict raw GPU LPM: award,lpm_3,3,is_award ~ log10_max_compute + C(year_venue) + C(team_size_group),+ Team size,is_award,lpm,log10_max_compute,group,HC3,5357,18.0,0.00877592318686861,0.004315749758018335,0.042005633865045855,0.00031720909486522043,0.017234637278872,0.017297946073075665,0.013984226146008583,0.02072055254806795,,0.877592318686861
Strict raw GPU LPM: award,lpm_4,4,is_award ~ log10_max_compute + C(year_venue) + C(n_organizations_group),+ Org-count group,is_award,lpm,log10_max_compute,group,HC3,5357,18.0,0.009669703132026714,0.0043116364949043005,0.02491622703571571,0.0012190508875857698,0.01812035537646766,0.01682345879482705,0.013508138873191022,0.02072055254806795,,0.9669703132026715
Strict raw GPU LPM: award,lpm_5,5,is_award ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group),+ Topic FE + Team,is_award,lpm,log10_max_compute,group,HC3,5357,46.0,0.008586273563033622,0.00446389376808932,0.05441802008817016,-0.00016279745323423758,0.01733534457930148,0.030761348368329222,0.02236493067057843,0.02072055254806795,,0.8586273563033622
Strict raw GPU LPM: award,lpm_6,6,is_award ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(n_organizations_group),+ Topic FE + Org-count,is_award,lpm,log10_max_compute,group,HC3,5357,46.0,0.009623585768689793,0.004463301975927807,0.031071303498654574,0.0008756746437448316,0.018371496893634754,0.030126349185140233,0.021724430552845897,0.02072055254806795,,0.9623585768689793
Strict raw GPU LPM: award,lpm_7,7,is_award ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,is_award,lpm,log10_max_compute,group,HC3,5357,48.0,0.008588479333835029,0.004491651344078501,0.05586357446146229,-0.00021499553166975938,0.017391954199339817,0.030803716250317525,0.022039318808722785,0.02072055254806795,,0.8588479333835028
