year,small_1_2_share_pct,mid_3_8_share_pct,large_9plus_share_pct
2020,49.5,26.9,6.1
2021,50.9,25.5,6.3
2022,45.9,27.7,8.9
2023,47.8,26.6,9.1
2024,33.1,37.4,11.5
2025,35.9,40.6,11.7
