year,gpu_papers,unspecified_count_papers,median_filled_gpu_count,mean_filled_gpu_count,p75_filled_gpu_count,p90_filled_gpu_count,p95_filled_gpu_count,max_filled_gpu_count,unspecified_count_share_pct
2020,461,81,1.0,5.464,4.0,8.0,12.0,500,17.57
2021,741,128,1.0,5.915,4.0,8.0,10.0,1024,17.274
2022,876,153,1.0,6.572,5.0,8.0,16.0,1024,17.466
2023,1078,178,1.0,6.201,5.0,8.0,16.0,640,16.512
2024,1440,261,3.0,16.722,8.0,9.0,17.0,13825,18.125
2025,2304,273,3.0,8.483,8.0,10.0,16.0,2368,11.849
