year,Unspecified,1,2,3-4,5-8,9-16,17-32,33-64,65+
2020,17.57,42.082,7.375,15.184,11.714,3.471,0.868,0.868,0.868
2021,17.274,41.835,9.042,13.495,12.011,3.914,0.81,0.81,0.81
2022,17.466,37.443,8.447,10.959,16.781,4.909,2.169,1.027,0.799
2023,16.512,38.961,8.813,10.019,16.605,5.38,1.577,1.113,1.02
2024,18.125,25.625,7.431,15.278,22.083,6.25,2.569,1.667,0.972
2025,11.849,25.043,10.807,16.016,24.609,7.335,2.04,1.259,1.042
