outcome_model,spec,nobs,coef,se,p,ci_low,ci_high,effect_interpretation,pct_per_10x,pp_per_10x,mean_y
Strict raw GPU OLS: log1p citations,7,2194,0.17186529925051963,0.04913678040147309,0.000469303648083303,0.0755589793473788,0.26817161915366045,approx pct change in 1+cites per 10x GPU compute,0.18751786289393357,,2.3537808184700504
Strict raw GPU PPML: citation count,7,2194,0.47746124486398567,0.0851569569546863,2.0605660269228208e-08,0.31055667619977284,0.6443658135281984,pct change in expected citations per 10x GPU compute,0.6119767886237464,,24.30401093892434
Strict raw GPU OLS: normalized citation percentile,7,2194,0.012579785697517736,0.008759786430596465,0.15097855203433114,-0.004589080218714009,0.029748651613749483,"percentile-point scale, 0-1",,,0.7745557942206016
Strict raw GPU LPM: high cited all-yv top10,7,2194,0.038363140854829114,0.013752233771400025,0.005277426859714657,0.011409257955909628,0.0653170237537486,percentage points,,3.836314085482911,0.10847766636280766
Strict raw GPU LPM: award,7,5357,0.008588479333835029,0.004491651344078501,0.05586357446146229,-0.00021499553166975938,0.017391954199339817,percentage points,,0.8588479333835028,0.02072055254806795
