sample,nobs,coef,se,p,pct_per_10x
baseline,2194,0.17186529925051963,0.04913678040147309,0.000469303648083303,0.18751786289393357
drop citation top 1%,2172,0.11497156690870222,0.047157946340841285,0.014768346267397654,0.12184153969554301
drop compute top 1%,2173,0.17344099164432342,0.051639143565055626,0.0007830673806119387,0.18939050072114227
drop both top 1%,2152,0.11385809465634522,0.04945484704358766,0.02132031071174425,0.12059309545254937
