model,nobs,coef,se,p,r2
baseline on institution-control sample,3155,0.17838179901514212,0.034375853935616145,2.1124506837446603e-07,0.20176366795057954
plus prior org history/collab controls,3155,0.17533369206433455,0.03553820400570592,8.069965764564142e-07,0.20938241735927332
