outcome_model,model,spec,formula,controls,outcome,family,compute_var,team_control,cov_type,nobs,df_model,coef,se,p,ci_low,ci_high,r2,adj_r2,mean_y,pct_per_10x,pp_per_10x
GPU-only PPML: citation count,poisson_4,4,cited_by_count ~ log10_max_compute + C(year_venue) + C(n_organizations_group),+ Org-count group,cited_by_count,poisson,log10_max_compute,group,HC0,3155,12.0,0.39429166709620767,0.06819761371031215,7.399125883450292e-09,0.2606268003924208,0.5279565337999945,,,24.064659270998416,0.4833331250528312,
GPU-only PPML: citation count,poisson_5,5,cited_by_count ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group),+ Topic FE + Team,cited_by_count,poisson,log10_max_compute,group,HC0,3155,40.0,0.3552273938183024,0.06285880684755395,1.593359301801459e-08,0.2320263962859369,0.47842839135066784,,,24.064659270998416,0.4265049958212792,
GPU-only PPML: citation count,poisson_6,6,cited_by_count ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(n_organizations_group),+ Topic FE + Org-count,cited_by_count,poisson,log10_max_compute,group,HC0,3155,40.0,0.38240342028145163,0.06217208913162035,7.712957401944461e-10,0.26054836473986165,0.5042584758230416,,,24.064659270998416,0.4658033006508777,
GPU-only PPML: citation count,poisson_7,7,cited_by_count ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,cited_by_count,poisson,log10_max_compute,group,HC0,3155,42.0,0.355135169473225,0.06289755377431047,1.639875123863812e-08,0.23185822935990513,0.47841210958654484,,,24.064659270998416,0.4263734433985511,
GPU-only OLS: normalized citation percentile,ols_1,1,citation_normalized_percentile ~ log10_max_compute + C(year_venue),Year x Venue FE,citation_normalized_percentile,ols,log10_max_compute,group,HC3,3154,10.0,0.025812986794641224,0.006019359884928952,1.8002349150667896e-05,0.014015258210195313,0.03761071537908713,0.04649147392510988,0.043457721058183685,0.7710527169625873,,
GPU-only OLS: normalized citation percentile,ols_2,2,citation_normalized_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic),+ Topic FE,citation_normalized_percentile,ols,log10_max_compute,group,HC3,3154,38.0,0.027409372699947126,0.006191835905992839,9.568761890932377e-06,0.015273597326019227,0.039545148073875026,0.07772199926617052,0.06647109588643207,0.7710527169625873,,
GPU-only OLS: normalized citation percentile,ols_3,3,citation_normalized_percentile ~ log10_max_compute + C(year_venue) + C(team_size_group),+ Team size,citation_normalized_percentile,ols,log10_max_compute,group,HC3,3154,12.0,0.019519444531158087,0.006096703892184846,0.0013664816245103765,0.007570124478070619,0.03146876458424555,0.06310495970310137,0.05952560902383919,0.7710527169625873,,
GPU-only OLS: normalized citation percentile,ols_4,4,citation_normalized_percentile ~ log10_max_compute + C(year_venue) + C(n_organizations_group),+ Org-count group,citation_normalized_percentile,ols,log10_max_compute,group,HC3,3154,12.0,0.024357294892415306,0.006037410696516632,5.4743341342630635e-05,0.012524187367365826,0.03619040241746479,0.05092407864959758,0.047298191653034505,0.7710527169625873,,
GPU-only OLS: normalized citation percentile,ols_5,5,citation_normalized_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group),+ Topic FE + Team,citation_normalized_percentile,ols,log10_max_compute,group,HC3,3154,40.0,0.021642118337764082,0.006252342028413403,0.0005372901856059253,0.009387753143047706,0.03389648353248046,0.0918760337114981,0.08020723877043157,0.7710527169625873,,
GPU-only OLS: normalized citation percentile,ols_6,6,citation_normalized_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(n_organizations_group),+ Topic FE + Org-count,citation_normalized_percentile,ols,log10_max_compute,group,HC3,3154,40.0,0.026131592795552574,0.006203709308487827,2.5283618649912584e-05,0.013972545980360549,0.038290639610744595,0.08175893911492182,0.06996014617068691,0.7710527169625873,,
GPU-only OLS: normalized citation percentile,ols_7,7,citation_normalized_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,citation_normalized_percentile,ols,log10_max_compute,group,HC3,3154,42.0,0.021428381951675343,0.006261779370873302,0.0006214139780599903,0.009155519905627792,0.033701243997722896,0.09298530787480863,0.08074017220484475,0.7710527169625873,,
