cluster_var,n_clusters,nobs,coef,se,p
year_venue,10,3155,0.17838179901514212,0.038067766214487785,2.7873043576383613e-06
primary_topic,29,3155,0.17838179901514212,0.03840266823615407,3.4001619041146505e-06
year_str,4,3155,0.17838179901514212,0.04514078446196432,7.760544609141354e-05
