leave_out_type,left_out,nobs,coef,se,p
year,2020,2694,0.20124979567393209,0.03623040777880243,2.7805601294731913e-08
year,2021,2414,0.15489351986270933,0.03850386094047482,5.750913697204725e-05
year,2022,2280,0.1486548155166755,0.041592917667855896,0.000351513125890397
year,2023,2077,0.2092861298482205,0.04329192882358793,1.3361560612441053e-06
venue,acl,1966,0.18238312850184518,0.04371705286323624,3.0207155523250634e-05
venue,emnlp,1394,0.19575941827393703,0.050803384956135164,0.00011654831594384534
venue,naacl,2950,0.1702666706585902,0.03603635600399835,2.302760289203953e-06
