outcome_id,outcome,family,cov_type,main_n,main_beta,main_se,main_p,main_ci_low,main_ci_high,main_r2_without_compute,main_r2_full,main_delta_r2,main_effect_10x,main_effect_ci_low,main_effect_ci_high,findings_n,findings_beta,findings_se,findings_p,findings_ci_low,findings_ci_high,findings_r2_without_compute,findings_r2_full,findings_delta_r2,findings_effect_10x,findings_effect_ci_low,findings_effect_ci_high,pooled_n,pooled_beta,pooled_se,pooled_p,pooled_ci_low,pooled_ci_high,pooled_r2_without_compute,pooled_r2_full,pooled_delta_r2,pooled_effect_10x,pooled_effect_ci_low,pooled_effect_ci_high,difference_findings_minus_main,difference_se,difference_p,difference_test_n,difference_p_holm
topic_year_percentile,NLP topic-year citation percentile,ols,HC3,2194,0.03523010789089265,0.011479673833850136,0.002148399210153901,0.012730360622279537,0.05772985515950576,0.08596871540178985,0.09017596707137787,0.004207251669588019,3.523010789089265,1.2730360622279537,5.772985515950576,1620,0.045919026628443535,0.013748126179576077,0.0008377213231602096,0.018973194461562176,0.0728648587953249,0.04984738616665829,0.0569161284385179,0.007068742271859607,4.591902662844354,1.8973194461562177,7.286485879532489,3814,0.03895187354284886,0.008665144555921019,6.9492686226380526e-06,0.021968502292410343,0.055935244793287375,0.08975175216458053,0.09488536774330736,0.0051336155787268245,3.8951873542848863,2.196850229241034,5.593524479328737,0.01068891873755086,0.017910719828670433,0.5506483315064139,3814,1.0
openalex_percentile,OpenAlex field-normalized percentile,ols,HC3,2194,0.012579785697517729,0.008759786430596463,0.15097855203433144,-0.004589080218714013,0.02974865161374947,0.09109911668246062,0.09202570284453548,0.0009265861620748606,1.257978569751773,-0.4589080218714013,2.974865161374947,1620,0.04007933452671767,0.011034502700085231,0.0002810335644978498,0.018452106647240635,0.06170656240619471,0.09767962715698841,0.10500043913953272,0.007320811982544306,4.007933452671767,1.8452106647240636,6.170656240619471,3814,0.02383817215298973,0.006848502374229112,0.0004999444951357072,0.010415354151463618,0.03726099015451584,0.11220247205655709,0.11510062600443571,0.0028981539478786233,2.383817215298973,1.0415354151463618,3.7260990154515836,0.027499548829200395,0.014088793708045033,0.050953176797870765,3814,0.25476588398935385
log_citations,log(1+citations),ols,HC3,2194,0.17186529925051963,0.04913678040147309,0.000469303648083303,0.0755589793473788,0.26817161915366045,0.20676705175103183,0.21192430749050117,0.005157255739469346,0.18751786289393357,0.07848683429193914,0.3075715250784825,1620,0.2071493120896385,0.054450051403079805,0.0001421532094513003,0.10042917238324744,0.31386945179602954,0.19263468658528893,0.2009660470266169,0.008331360441327984,0.23016623676012404,0.10564532870714283,0.3687110421152082,3814,0.1854416461627939,0.03619025455732653,2.9899899577371285e-07,0.11451005063909735,0.25637324168649045,0.22410449792501264,0.23017942706710814,0.006074929142095509,0.2037499542967378,0.12132391102926832,0.2922349538942248,0.03528401283911936,0.07334324294725882,0.63045920082974,3814,1.0
citation_count_ppml,"Citation count, PPML",poisson,HC0,2194,0.47746124486398567,0.0851569569546863,2.0605660269228208e-08,0.31055667619977284,0.6443658135281984,,,,0.6119767886237464,0.36418431173740107,0.9047786612883431,1620,0.3899306352283056,0.09025173877666934,1.5569170851917926e-05,0.21304047768391668,0.5668207927726946,,,,0.47687834700022136,0.23743473872210275,0.7626542908360541,3814,0.4560819225426563,0.06585932782586193,4.3569142452745796e-12,0.32700001195795025,0.5851638331273623,,,,0.5778796033809228,0.3868014937636053,0.7952850887179204,-0.087530528194046,0.12408489843820368,0.48055612543788184,3814,1.0
top10_cited,Top-10% cited,lpm,HC3,2194,0.038363140854829114,0.013752233771400025,0.005277426859714657,0.011409257955909628,0.0653170237537486,0.040813124570508674,0.04506379953004325,0.004250674959534573,3.836314085482911,1.1409257955909629,6.531702375374859,1620,0.05880814354170623,0.018318071494678276,0.0013255524345749464,0.02290538314590701,0.09471090393750545,0.05234864225455382,0.0616183114100215,0.009269669155467675,5.880814354170623,2.290538314590701,9.471090393750545,3814,0.046853484535686205,0.011008921876454796,2.081578618115214e-05,0.025276394149219696,0.06843057492215271,0.03644551013271624,0.04262999622012398,0.006184486087407737,4.68534845356862,2.5276394149219694,6.843057492215271,0.0204450026868783,0.0229058000730684,0.37208812888303455,3814,1.0
