track,track_label,n,n_high_capability,n_other,n_high_impact,n_high_capability_high_impact,n_other_high_impact,high_impact_rate_high_capability,high_impact_rate_other,risk_ratio,high_capability_share_high_impact,high_capability_not_high_impact,high_capability_definition,high_impact_definition,year_window
main,Main Conference,3156,634,2522,322,92,230,0.14511041009463724,0.09119746233148295,1.5911671924290223,0.2857142857142857,0.8548895899053628,annual top 20% of model-reported GPU papers,top 10% cited within venue-year-track,2020-2023
findings,Findings,2427,487,1940,252,77,175,0.15811088295687886,0.09020618556701031,1.7527720739219714,0.3055555555555556,0.8418891170431211,annual top 20% of model-reported GPU papers,top 10% cited within venue-year-track,2020-2023
pooled,Main + Findings,5583,1118,4465,574,164,410,0.14669051878354203,0.09182530795072788,1.5974955277280858,0.2857142857142857,0.853309481216458,annual top 20% of model-reported GPU papers,top 10% cited within venue-year-track,2020-2023
