characteristic_id,characteristic,unit,main_conference,findings,main_plus_findings
total_papers,Total papers,papers,13921.0,9917.0,23838.0
standardized_gpu_model,Papers reporting standardized GPU model,papers,6900.0,5824.0,12724.0
reporting_rate_pct,Reporting rate,percent,49.56540478413907,58.72743773318544,53.376961154459266
gpu_model_plus_count,Papers reporting GPU model + count,papers,5360.0,4186.0,9546.0
strict_reporting_rate_pct,Strict reporting rate,percent,38.50298110767905,42.21034587072703,40.04530581424616
citation_analysis_sample,Citation-analysis sample,papers,2194.0,1620.0,3814.0
median_reported_gpu_count,Median reported GPU count,GPUs,4.0,2.0,3.0
median_reported_gpu_capability_tflops,Median reported GPU capability,TFLOP/s,455.2,359.65,448.0
