year,total_papers,gpu_papers,strict_gpu_papers,gpu_share_pct,strict_share_pct,gpu_missing_quantity_papers,missing_qty_within_gpu_pct
2020,1529,461,224,30.150425114453896,14.650098103335512,237,51.40997830802603
2021,1895,741,472,39.10290237467019,24.907651715039577,269,36.30229419703104
2022,1872,876,648,46.794871794871796,34.61538461538461,228,26.027397260273972
2023,1958,1078,851,55.0561797752809,43.46271705822268,227,21.057513914656774
2024,2619,1440,1160,54.98281786941581,44.29171439480718,280,19.444444444444446
2025,4048,2304,2005,56.916996047430835,49.530632411067195,299,12.977430555555555
