family_group,2020,2021,2022,2023,2024,2025
Datacenter A-series,5.422993492407809,7.6923076923076925,20.205479452054796,37.01298701298701,58.888888888888886,57.72569444444444
Tesla,46.63774403470716,44.80431848852901,38.81278538812786,25.510204081632654,10.48611111111111,4.340277777777778
GeForce RTX,14.316702819956616,21.45748987854251,18.60730593607306,17.346938775510203,11.527777777777779,9.54861111111111
RTX Workstation,0.21691973969631237,0.4048582995951417,5.47945205479452,10.38961038961039,12.569444444444445,11.848958333333334
Datacenter H-series,0.0,0.0,0.0,0.18552875695732837,2.7777777777777777,10.894097222222221
TITAN,14.316702819956616,10.796221322537113,5.821917808219178,2.5974025974025974,0.4166666666666667,0.2604166666666667
Quadro,3.2537960954446854,5.937921727395412,6.963470319634703,5.009276437847866,1.7361111111111112,1.0416666666666667
GeForce GTX,15.835140997830802,8.771929824561404,4.109589041095891,1.5769944341372912,0.4861111111111111,0.13020833333333334
Datacenter L-series,0.0,0.0,0.0,0.0,0.7638888888888888,2.517361111111111
Other,0.0,0.1349527665317139,0.0,0.37105751391465674,0.3472222222222222,1.6927083333333333
