venue,papers,median_tflops,q25_tflops,q75_tflops,p90_tflops,p95_tflops,max_tflops,mean_tflops
ACL,2180,624.0,154.8,3024.0,4992.0,9984.0,8626176.0,8378.776974770642
EMNLP,2809,624.0,112.0,2496.0,4992.0,6048.0,638976.0,2920.588308294767
NAACL,516,624.0,112.0,2496.0,4992.0,6048.0,638976.0,3461.7512829457364
