year,gpu_papers,papers_with_memory,median_max_gpu_memory_gb,p25_max_gpu_memory_gb,p75_max_gpu_memory_gb,p90_max_gpu_memory_gb,median_weighted_gpu_memory_gb,median_total_vram_gb_filled,p75_total_vram_gb_filled,p90_total_vram_gb_filled,max_total_vram_gb_filled,gpu_rows,rows_with_memory,gpu_instances_filled,paper_memory_coverage_pct,row_memory_coverage_pct,share_papers_max_ge_24gb,share_papers_max_ge_40gb,share_papers_max_ge_80gb
2020,461,461,16.0,11.0,16.0,32.0,16.0,22.0,64.0,176.0,16000.0,515,515,2519,100.0,100.0,23.861,8.677,0.0
2021,741,741,16.0,12.0,24.0,40.0,16.0,32.0,64.0,160.0,40960.0,851,851,4383,100.0,100.0,36.032,12.281,0.405
2022,876,876,24.0,16.0,40.0,48.0,24.0,42.0,128.0,320.0,40960.0,1028,1028,5757,100.0,100.0,58.105,30.822,2.74
2023,1078,1077,40.0,24.0,48.0,48.0,32.0,48.0,160.0,336.0,46080.0,1301,1300,6685,99.907,99.923,77.273,50.278,7.978
2024,1440,1439,40.0,40.0,48.0,80.0,40.0,96.0,320.0,640.0,1105960.0,1804,1796,24080,99.931,99.557,91.667,75.972,24.514
2025,2304,2293,48.0,40.0,80.0,80.0,48.0,160.0,320.0,640.0,81920.0,2858,2834,19545,99.523,99.16,96.311,83.333,38.281
