sample,papers,share_of_full_corpus_pct
"Full ACL/EMNLP/NAACL corpus, 2020-2025",13921,100.0
At least one GPU model reported,6900,49.56540478413907
GPU model and count reported (strict sample),5360,38.50298110767905
